Chamber.No	Ind	Mass	Volume	DO.unit	Temp	R2	BR	MR.abs	MR.mass					
CH6	BT_6	5	659.2	mg O2	14.74901667	0.959369557	-3.131106616	1.047382985	209.4765969					
CH6	BT_6	5	659.2	mg O2	14.64958333	0.966397569	-4.063631725	1.061746928	212.3493855					
CH6	BT_6	5	659.2	mg O2	14.75736667	0.969825733	-4.139690072	1.077723043	215.5446087					
CH6	BT_6	5	659.2	mg O2	15.02861667	0.974969744	-4.541703893	1.081430917	216.2861834					
CH6	BT_6	5	659.2	mg O2	15.23788333	0.949375178	-5.29538911	0.989089458	197.8178917					
CH6	BT_6	5	659.2	mg O2	14.60535	0.962848616	-5.319330461	1.039517239	207.9034478					
CH6	BT_6	5	659.2	mg O2	14.78373333	0.927406683	-9.794580468	0.712316185	142.4632369					
CH6	BT_6	5	659.2	mg O2	14.82383333	0.980539419	-7.117652198	1.060177251	212.0354502					
CH6	BT_6	5	659.2	mg O2	14.91226667	0.978410906	-7.110109522	1.08201975	216.4039501					
CH6	BT_6	5	659.2	mg O2	15.21545	0.943834893	-8.29280704	0.992020725	198.4041449					
CH6	BT_6	5	659.2	mg O2	14.58383333	0.975258789	-7.875777899	1.07833722	215.667444					
CH6	BT_6	5	659.2	mg O2	14.93135	0.966424336	-10.67533431	1.073764291	214.7528582					
CH6	BT_6	5	659.2	mg O2	15.04045	0.963521518	-10.98422865	1.060426753	212.0853505					
CH6	BT_6	5	659.2	mg O2	14.58145	0.947894418	-12.46242388	0.98446204	196.892408					
CH7	BT_7	7.4	654.4	mg O2	14.93226667	0.991877904	0.842567803	1.412643266	190.8977386					
CH7	BT_7	7.4	654.4	mg O2	14.66938333	0.975199252	-0.212717855	1.230833684	166.3288763					
CH7	BT_7	7.4	654.4	mg O2	14.79045	0.983271427	-0.295164387	1.384414094	187.0829857					
CH7	BT_7	7.4	654.4	mg O2	14.91105	0.990185435	-1.134333485	1.405771269	189.9690905					
CH7	BT_7	7.4	654.4	mg O2	15.20298333	0.985227695	-1.445193592	1.414578429	191.1592471					
CH7	BT_7	7.4	654.4	mg O2	14.66453333	0.968419536	-2.114048416	1.04400216	141.0813729					
CH7	BT_7	7.4	654.4	mg O2	14.64048333	0.987307073	-1.835104959	1.361628815	184.0038939					
CH7	BT_7	7.4	654.4	mg O2	14.85375	0.990117163	-2.08310501	1.345698672	181.8511719					
CH7	BT_7	7.4	654.4	mg O2	14.95551667	0.989793746	-2.185352569	1.352365846	182.7521413					
CH7	BT_7	7.4	654.4	mg O2	15.23788333	0.977845326	-3.526263273	1.321132637	178.5314375					
CH7	BT_7	7.4	654.4	mg O2	14.70248333	0.969213872	-4.477193164	1.084197079	146.5131188					
CH7	BT_7	7.4	654.4	mg O2	14.69683333	0.990715625	-3.693769486	1.386357171	187.3455637					
CH7	BT_7	7.4	654.4	mg O2	14.7933	0.991798575	-3.815945991	1.383315586	186.9345386					
CH7	BT_7	7.4	654.4	mg O2	14.88271667	0.993688718	-3.840661771	1.414259005	191.1160818					
CH7	BT_7	7.4	654.4	mg O2	14.97523333	0.992785794	-4.16787621	1.343864504	181.6033114					
CH7	BT_7	7.4	654.4	mg O2	15.0696	0.992905688	-4.077713197	1.409695901	190.499446					
CH7	BT_7	7.4	654.4	mg O2	15.21545	0.968970976	-5.678393201	1.354307527	183.0145307					
CH7	BT_7	7.4	654.4	mg O2	14.74975	0.968600146	-8.15883614	0.984071976	132.9826995					
CH7	BT_7	7.4	654.4	mg O2	14.58383333	0.993229714	-5.665065477	1.411847129	190.7901526					
CH7	BT_7	7.4	654.4	mg O2	14.66955	0.98916029	-5.934167905	1.377347614	186.1280559					
CH7	BT_7	7.4	654.4	mg O2	15.17416667	0.976292411	-7.711277422	1.200206804	162.1901086					
CH7	BT_7	7.4	654.4	mg O2	15.10888333	0.95938795	-10.28328326	1.140961384	154.1839708					
CH7	BT_7	7.4	654.4	mg O2	14.58145	0.985694888	-9.026237025	1.302696783	176.0401058					
CH8	BT_8	8.3	656.4	mg O2	14.96465	0.936216152	0.451620305	1.346442605	162.2220005					
CH8	BT_8	8.3	656.4	mg O2	14.66938333	0.976851048	-0.323570177	1.332463069	160.5377191					
CH8	BT_8	8.3	656.4	mg O2	15.00548333	0.949556222	-1.037876468	1.141957701	137.5852652					
CH8	BT_8	8.3	656.4	mg O2	14.79195	0.98374503	-1.190541087	1.376080391	165.7928182					
CH8	BT_8	8.3	656.4	mg O2	15.20298333	0.976241712	-1.678819413	1.340700166	161.5301404					
CH8	BT_8	8.3	656.4	mg O2	14.66453333	0.971736115	-2.175474085	1.109495113	133.67411					
CH8	BT_8	8.3	656.4	mg O2	14.74901667	0.987048029	-2.078802976	1.378983015	166.1425319					
CH8	BT_8	8.3	656.4	mg O2	14.85375	0.987811141	-2.211297698	1.366753262	164.6690677					
CH8	BT_8	8.3	656.4	mg O2	14.95551667	0.989197267	-2.319695448	1.369838556	165.0407898					
CH8	BT_8	8.3	656.4	mg O2	14.87151667	0.966455139	-2.815686398	1.296855237	156.247619					
CH8	BT_8	8.3	656.4	mg O2	15.02861667	0.990639215	-3.362481756	1.365921603	164.5688678					
CH8	BT_8	8.3	656.4	mg O2	14.70248333	0.960980245	-4.796905685	1.068185776	128.6970814					
CH8	BT_8	8.3	656.4	mg O2	14.60535	0.987945628	-3.916422911	1.336784651	161.0583917					
CH8	BT_8	8.3	656.4	mg O2	14.69683333	0.989357251	-3.926348852	1.372880354	165.4072715					
CH8	BT_8	8.3	656.4	mg O2	14.78373333	0.983699121	-4.863662705	1.342656559	161.7658505					
CH8	BT_8	8.3	656.4	mg O2	14.74975	0.967294677	-8.15173673	1.023430069	123.3048276					
CH8	BT_8	8.3	656.4	mg O2	15.17416667	0.976113188	-7.088308732	1.345066819	162.0562432					
CH8	BT_8	8.3	656.4	mg O2	14.60453333	0.981042204	-7.694198503	1.266965815	152.6464837					
CH8	BT_8	8.3	656.4	mg O2	14.58528333	0.988800627	-7.134337127	1.381609898	166.4590238					
CH8	BT_8	8.3	656.4	mg O2	14.74486667	0.988828676	-8.072094644	1.371111397	165.1941442					
CH8	BT_8	8.3	656.4	mg O2	15.10888333	0.952468591	-11.7349937	1.045877574	126.0093463					
CH8	BT_8	8.3	656.4	mg O2	14.61325	0.985817694	-9.055470913	1.358656475	163.6935512					
CH8	BT_8	8.3	656.4	mg O2	14.7216	0.985423794	-9.05280888	1.376930401	165.895229					
