"","TAGNUMBER","SEX","TANK_Real","condition1","SGR","condition2","Interval_Days"
"237","00186D169C","F",152,"SGR_2",3.20018352828537,"T3minusT1",62
"235","00186D169C","F",152,"SGR_3",2.78777047674232,"T4minusT1",98
"238","00186D169C","F",152,"SGR_4",NA,"T5minusT1",NA
"240","00186D169C","F",152,"SGR_5",NA,"T6minusT1",NA
"239","00186D169C","F",152,"SGR_6",NA,"T7minusT1",NA
"241","00186D16A0","M",201,"SGR_1",2.56653964664324,"T2minusT1",32
"242","00186D16A0","M",201,"SGR_2",2.37729367879087,"T3minusT1",62
"243","00186D16A0","M",201,"SGR_3",2.10020116571663,"T4minusT1",98
"244","00186D16A0","M",201,"SGR_4",NA,"T5minusT1",NA
"246","00186D16A0","M",201,"SGR_5",NA,"T6minusT1",NA
"245","00186D16A0","M",201,"SGR_6",NA,"T7minusT1",NA
"250","00186D16A1","M",202,"SGR_1",2.37779066107073,"T2minusT1",32
"248","00186D16A1","M",202,"SGR_2",0.797479977603688,"T3minusT1",62
"249","00186D16A1","M",202,"SGR_3",0.465094710418978,"T4minusT1",98
"251","00186D16A1","M",202,"SGR_4",0.881252496480656,"T5minusT1",133
"252","00186D16A1","M",202,"SGR_5",1.04871689620925,"T6minusT1",161
"247","00186D16A1","M",202,"SGR_6",1.1708664242664,"T7minusT1",244
"255","00186D16A3","F",152,"SGR_1",3.05450487885108,"T2minusT1",32
"253","00186D16A3","F",152,"SGR_2",3.07114896816871,"T3minusT1",62
"258","00186D16A3","F",152,"SGR_3",2.82490866545957,"T4minusT1",98
"254","00186D16A3","F",152,"SGR_4",2.60362323380803,"T5minusT1",133
"256","00186D16A3","F",152,"SGR_5",2.42150696326693,"T6minusT1",161
"257","00186D16A3","F",152,"SGR_6",1.97071088920031,"T7minusT1",244
"264","00186D16A6","F",152,"SGR_1",1.72904650693906,"T2minusT1",32
"262","00186D16A6","F",152,"SGR_2",2.2452087040586,"T3minusT1",62
"261","00186D16A6","F",152,"SGR_3",2.17905666866762,"T4minusT1",98
"260","00186D16A6","F",152,"SGR_4",2.0207456008309,"T5minusT1",133
"259","00186D16A6","F",152,"SGR_5",1.8865839936554,"T6minusT1",161
"263","00186D16A6","F",152,"SGR_6",1.59820830676971,"T7minusT1",244
"269","00186D16A7","F",201,"SGR_1",3.15700432333301,"T2minusT1",32
"270","00186D16A7","F",201,"SGR_2",2.70186071838752,"T3minusT1",62
"265","00186D16A7","F",201,"SGR_3",2.49447154751741,"T4minusT1",98
"268","00186D16A7","F",201,"SGR_4",2.27370494329453,"T5minusT1",133
"266","00186D16A7","F",201,"SGR_5",1.96250710766379,"T6minusT1",161
"267","00186D16A7","F",201,"SGR_6",1.56438536166523,"T7minusT1",244
"275","00186D16A9","F",201,"SGR_1",1.8538068771883,"T2minusT1",32
"272","00186D16A9","F",201,"SGR_2",2.26114356012683,"T3minusT1",62
"274","00186D16A9","F",201,"SGR_3",2.23201742374142,"T4minusT1",98
"271","00186D16A9","F",201,"SGR_4",2.15983466277547,"T5minusT1",133
"276","00186D16A9","F",201,"SGR_5",1.92536637296818,"T6minusT1",161
"273","00186D16A9","F",201,"SGR_6",1.50198206112278,"T7minusT1",244
"278","00186D16AA","M",152,"SGR_1",3.42875186768685,"T2minusT1",32
"282","00186D16AA","M",152,"SGR_2",3.1953156080327,"T3minusT1",62
"279","00186D16AA","M",152,"SGR_3",2.75775116605455,"T4minusT1",98
"280","00186D16AA","M",152,"SGR_4",NA,"T5minusT1",NA
"281","00186D16AA","M",152,"SGR_5",NA,"T6minusT1",NA
"277","00186D16AA","M",152,"SGR_6",NA,"T7minusT1",NA
"284","00186D16AB","M",151,"SGR_1",3.33035002536772,"T2minusT1",32
"287","00186D16AB","M",151,"SGR_2",3.21608021855624,"T3minusT1",62
"285","00186D16AB","M",151,"SGR_3",2.8618268180002,"T4minusT1",98
"288","00186D16AB","M",151,"SGR_4",NA,"T5minusT1",NA
"286","00186D16AB","M",151,"SGR_5",NA,"T6minusT1",NA
"283","00186D16AB","M",151,"SGR_6",NA,"T7minusT1",NA
"294","00186D16AE","M",152,"SGR_1",3.49277670798647,"T2minusT1",32
"292","00186D16AE","M",152,"SGR_2",3.85537437901835,"T3minusT1",62
"289","00186D16AE","M",152,"SGR_3",3.43965617242099,"T4minusT1",98
"291","00186D16AE","M",152,"SGR_4",3.03564708937172,"T5minusT1",133
"290","00186D16AE","M",152,"SGR_5",2.68242661554967,"T6minusT1",161
"293","00186D16AE","M",152,"SGR_6",2.12047383927785,"T7minusT1",244
"299","00186D16B0","M",152,"SGR_1",1.2751399143162,"T2minusT1",32
"295","00186D16B0","M",152,"SGR_2",1.54734743088145,"T3minusT1",62
"298","00186D16B0","M",152,"SGR_3",1.76330316058395,"T4minusT1",98
"296","00186D16B0","M",152,"SGR_4",NA,"T5minusT1",NA
"297","00186D16B0","M",152,"SGR_5",NA,"T6minusT1",NA
"300","00186D16B0","M",152,"SGR_6",NA,"T7minusT1",NA
"306","00186D16B1","M",202,"SGR_1",1.74018209343303,"T2minusT1",32
"304","00186D16B1","M",202,"SGR_2",1.20794790930432,"T3minusT1",62
"305","00186D16B1","M",202,"SGR_3",1.18028406968835,"T4minusT1",98
"303","00186D16B1","M",202,"SGR_4",1.73006415249606,"T5minusT1",133
"301","00186D16B1","M",202,"SGR_5",1.72016805298876,"T6minusT1",161
"302","00186D16B1","M",202,"SGR_6",1.4813131845534,"T7minusT1",244
"309","00186D16B2","F",202,"SGR_1",2.53903068359895,"T2minusT1",32
"308","00186D16B2","F",202,"SGR_2",1.98597988585385,"T3minusT1",62
"312","00186D16B2","F",202,"SGR_3",2.0054672154046,"T4minusT1",98
"310","00186D16B2","F",202,"SGR_4",1.98702823670147,"T5minusT1",133
"311","00186D16B2","F",202,"SGR_5",1.90667769167661,"T6minusT1",161
"307","00186D16B2","F",202,"SGR_6",1.56732974321716,"T7minusT1",244
"315","00186D16B3","M",151,"SGR_1",2.7337181795458,"T2minusT1",32
"316","00186D16B3","M",151,"SGR_2",2.84805427810941,"T3minusT1",62
"314","00186D16B3","M",151,"SGR_3",2.54518199178273,"T4minusT1",98
"317","00186D16B3","M",151,"SGR_4",NA,"T5minusT1",NA
"318","00186D16B3","M",151,"SGR_5",NA,"T6minusT1",NA
"313","00186D16B3","M",151,"SGR_6",NA,"T7minusT1",NA
"323","00186D16B5","F",201,"SGR_1",1.7092059977676,"T2minusT1",32
"320","00186D16B5","F",201,"SGR_2",1.33818990603938,"T3minusT1",62
"322","00186D16B5","F",201,"SGR_3",1.9505258577041,"T4minusT1",98
"321","00186D16B5","F",201,"SGR_4",2.10461216901263,"T5minusT1",133
"319","00186D16B5","F",201,"SGR_5",2.00817053267033,"T6minusT1",161
"324","00186D16B5","F",201,"SGR_6",1.8611892122546,"T7minusT1",190
"328","00186D16B8","F",152,"SGR_1",2.90479818648632,"T2minusT1",32
"329","00186D16B8","F",152,"SGR_2",2.98167210535554,"T3minusT1",62
"327","00186D16B8","F",152,"SGR_3",2.28826281420611,"T4minusT1",98
"326","00186D16B8","F",152,"SGR_4",2.07764787679534,"T5minusT1",133
"325","00186D16B8","F",152,"SGR_5",1.63183659450157,"T6minusT1",161
"330","00186D16B8","F",152,"SGR_6",1.63399876936818,"T7minusT1",244
"335","00186D16B9","M",202,"SGR_1",2.79201425045448,"T2minusT1",32
"333","00186D16B9","M",202,"SGR_2",2.18849800575842,"T3minusT1",62
"331","00186D16B9","M",202,"SGR_3",2.12642539790153,"T4minusT1",98
"334","00186D16B9","M",202,"SGR_4",2.06751075841949,"T5minusT1",133
"332","00186D16B9","M",202,"SGR_5",1.92338794626428,"T6minusT1",161
"336","00186D16B9","M",202,"SGR_6",1.82259974414682,"T7minusT1",190
"340","00186D16BB","F",202,"SGR_1",3.61046195923336,"T2minusT1",32
"342","00186D16BB","F",202,"SGR_2",3.16171066680633,"T3minusT1",62
"339","00186D16BB","F",202,"SGR_3",2.59671940971771,"T4minusT1",98
"341","00186D16BB","F",202,"SGR_4",2.353250432843,"T5minusT1",133
"337","00186D16BB","F",202,"SGR_5",2.11472686114824,"T6minusT1",161
"338","00186D16BB","F",202,"SGR_6",1.94075039226991,"T7minusT1",190
"345","00186D16BD","M",201,"SGR_1",2.58198760778205,"T2minusT1",32
"347","00186D16BD","M",201,"SGR_2",1.29268942690708,"T3minusT1",62
"343","00186D16BD","M",201,"SGR_3",1.28009582620292,"T4minusT1",98
"344","00186D16BD","M",201,"SGR_4",1.6082854880521,"T5minusT1",133
"348","00186D16BD","M",201,"SGR_5",1.65071022617742,"T6minusT1",161
"346","00186D16BD","M",201,"SGR_6",NA,"T7minusT1",NA
"350","00186D16C5","F",202,"SGR_1",2.33176703560192,"T2minusT1",32
"353","00186D16C5","F",202,"SGR_2",1.45883146879899,"T3minusT1",62
"352","00186D16C5","F",202,"SGR_3",1.86849947938097,"T4minusT1",98
"349","00186D16C5","F",202,"SGR_4",1.7736686373389,"T5minusT1",133
