"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"167","00186D167A","F",201,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"163","00186D167A","F",201,"WEIGHT_2",5.5,"LENGTH_2",76,"T2",2021-08-30
"165","00186D167A","F",201,"WEIGHT_3",6.7,"LENGTH_3",82,"T3",2021-09-29
"162","00186D167A","F",201,"WEIGHT_4",7.6,"LENGTH_4",87,"T4",2021-11-04
"164","00186D167A","F",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"166","00186D167A","F",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"168","00186D167A","F",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"169","00186D167B","F",201,"WEIGHT_1",2.2,"LENGTH_1",58,"T1",2021-07-29
"173","00186D167B","F",201,"WEIGHT_2",5.3,"LENGTH_2",76,"T2",2021-08-30
"171","00186D167B","F",201,"WEIGHT_3",7.4,"LENGTH_3",85,"T3",2021-09-29
"170","00186D167B","F",201,"WEIGHT_4",15,"LENGTH_4",105,"T4",2021-11-04
"174","00186D167B","F",201,"WEIGHT_5",26.5,"LENGTH_5",125,"T5",2021-12-09
"172","00186D167B","F",201,"WEIGHT_6",40.8,"LENGTH_6",145,"T6",2022-01-06
"175","00186D167B","F",201,"WEIGHT_7",55.4,"LENGTH_7",155,"T7",2022-02-04
"182","00186D1680","F",202,"WEIGHT_1",2.9,"LENGTH_1",62,"T1",2021-07-29
"181","00186D1680","F",202,"WEIGHT_2",5.9,"LENGTH_2",79,"T2",2021-08-30
"176","00186D1680","F",202,"WEIGHT_3",4.4,"LENGTH_3",77,"T3",2021-09-29
"180","00186D1680","F",202,"WEIGHT_4",10,"LENGTH_4",82,"T4",2021-11-04
"179","00186D1680","F",202,"WEIGHT_5",10.7,"LENGTH_5",96,"T5",2021-12-09
"177","00186D1680","F",202,"WEIGHT_6",16.6,"LENGTH_6",110,"T6",2022-01-06
"178","00186D1680","F",202,"WEIGHT_7",36.9,"LENGTH_7",140,"T7",2022-03-30
"185","00186D1683","F",152,"WEIGHT_1",1.4,"LENGTH_1",51,"T1",2021-07-29
"189","00186D1683","F",152,"WEIGHT_2",3.8,"LENGTH_2",71,"T2",2021-08-30
"188","00186D1683","F",152,"WEIGHT_3",8.2,"LENGTH_3",91,"T3",2021-09-29
"184","00186D1683","F",152,"WEIGHT_4",14.7,"LENGTH_4",112,"T4",2021-11-04
"187","00186D1683","F",152,"WEIGHT_5",22.9,"LENGTH_5",130,"T5",2021-12-09
"183","00186D1683","F",152,"WEIGHT_6",32.7,"LENGTH_6",147,"T6",2022-01-06
"186","00186D1683","F",152,"WEIGHT_7",102.5,"LENGTH_7",216,"T7",2022-03-30
"193","00186D1684","M",202,"WEIGHT_1",1.5,"LENGTH_1",53,"T1",2021-07-29
"192","00186D1684","M",202,"WEIGHT_2",2.6,"LENGTH_2",63,"T2",2021-08-30
"194","00186D1684","M",202,"WEIGHT_3",2.3,"LENGTH_3",63,"T3",2021-09-29
"191","00186D1684","M",202,"WEIGHT_4",3.8,"LENGTH_4",70,"T4",2021-11-04
"195","00186D1684","M",202,"WEIGHT_5",4.8,"LENGTH_5",78,"T5",2021-12-09
"196","00186D1684","M",202,"WEIGHT_6",4.9,"LENGTH_6",79,"T6",2022-01-06
"190","00186D1684","M",202,"WEIGHT_7",6.7,"LENGTH_7",90,"T7",2022-03-30
"199","00186D1685","M",201,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"201","00186D1685","M",201,"WEIGHT_2",4.1,"LENGTH_2",72,"T2",2021-08-30
"198","00186D1685","M",201,"WEIGHT_3",5.5,"LENGTH_3",79,"T3",2021-09-29
"200","00186D1685","M",201,"WEIGHT_4",12.5,"LENGTH_4",105,"T4",2021-11-04
"197","00186D1685","M",201,"WEIGHT_5",22.2,"LENGTH_5",128,"T5",2021-12-09
"203","00186D1685","M",201,"WEIGHT_6",32.3,"LENGTH_6",142,"T6",2022-01-06
"202","00186D1685","M",201,"WEIGHT_7",49.9,"LENGTH_7",165,"T7",2022-03-30
"207","00186D1687","F",202,"WEIGHT_1",1.8,"LENGTH_1",57,"T1",2021-07-29
"208","00186D1687","F",202,"WEIGHT_2",3.2,"LENGTH_2",67,"T2",2021-08-30
"206","00186D1687","F",202,"WEIGHT_3",5.9,"LENGTH_3",81,"T3",2021-09-29
"209","00186D1687","F",202,"WEIGHT_4",11.9,"LENGTH_4",101,"T4",2021-11-04
"210","00186D1687","F",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"205","00186D1687","F",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"204","00186D1687","F",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"213","00186D1688","M",151,"WEIGHT_1",2.2,"LENGTH_1",59,"T1",2021-07-29
"216","00186D1688","M",151,"WEIGHT_2",4.1,"LENGTH_2",75,"T2",2021-08-30
"214","00186D1688","M",151,"WEIGHT_3",9.9,"LENGTH_3",99,"T3",2021-09-29
"211","00186D1688","M",151,"WEIGHT_4",25.5,"LENGTH_4",122,"T4",2021-11-04
"212","00186D1688","M",151,"WEIGHT_5",42.8,"LENGTH_5",153,"T5",2021-12-09
"215","00186D1688","M",151,"WEIGHT_6",70.9,"LENGTH_6",184,"T6",2022-01-06
"217","00186D1688","M",151,"WEIGHT_7",182.3,"LENGTH_7",240,"T7",2022-03-30
"223","00186D1689","M",202,"WEIGHT_1",2.2,"LENGTH_1",58,"T1",2021-07-29
"224","00186D1689","M",202,"WEIGHT_2",4.6,"LENGTH_2",73,"T2",2021-08-30
"218","00186D1689","M",202,"WEIGHT_3",7.6,"LENGTH_3",86,"T3",2021-09-29
"219","00186D1689","M",202,"WEIGHT_4",16.8,"LENGTH_4",110,"T4",2021-11-04
"222","00186D1689","M",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"220","00186D1689","M",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"221","00186D1689","M",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"227","00186D1690","M",151,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"225","00186D1690","M",151,"WEIGHT_2",5.1,"LENGTH_2",77,"T2",2021-08-30
"229","00186D1690","M",151,"WEIGHT_3",13.8,"LENGTH_3",107,"T3",2021-09-29
"226","00186D1690","M",151,"WEIGHT_4",24.1,"LENGTH_4",130,"T4",2021-11-04
"228","00186D1690","M",151,"WEIGHT_5",45.4,"LENGTH_5",160,"T5",2021-12-09
"230","00186D1690","M",151,"WEIGHT_6",76.2,"LENGTH_6",188,"T6",2022-01-06
"231","00186D1690","M",151,"WEIGHT_7",209.6,"LENGTH_7",255,"T7",2022-03-30
"233","00186D1695","F",151,"WEIGHT_1",2,"LENGTH_1",57,"T1",2021-07-29
"232","00186D1695","F",151,"WEIGHT_2",4.4,"LENGTH_2",75,"T2",2021-08-30
"238","00186D1695","F",151,"WEIGHT_3",9.4,"LENGTH_3",96,"T3",2021-09-29
"237","00186D1695","F",151,"WEIGHT_4",15.5,"LENGTH_4",114,"T4",2021-11-04
"236","00186D1695","F",151,"WEIGHT_5",26.6,"LENGTH_5",138,"T5",2021-12-09
"235","00186D1695","F",151,"WEIGHT_6",46,"LENGTH_6",159,"T6",2022-01-06
"234","00186D1695","F",151,"WEIGHT_7",124.9,"LENGTH_7",222,"T7",2022-03-30
"243","00186D1696","F",201,"WEIGHT_1",1.6,"LENGTH_1",54,"T1",2021-07-29
"244","00186D1696","F",201,"WEIGHT_2",3.9,"LENGTH_2",71,"T2",2021-08-30
"245","00186D1696","F",201,"WEIGHT_3",5.3,"LENGTH_3",79,"T3",2021-09-29
"239","00186D1696","F",201,"WEIGHT_4",9.9,"LENGTH_4",95,"T4",2021-11-04
"242","00186D1696","F",201,"WEIGHT_5",16.3,"LENGTH_5",115,"T5",2021-12-09
"240","00186D1696","F",201,"WEIGHT_6",25.4,"LENGTH_6",130,"T6",2022-01-06
"241","00186D1696","F",201,"WEIGHT_7",42.8,"LENGTH_7",155,"T7",2022-03-30
"252","00186D1697","M",151,"WEIGHT_1",2.8,"LENGTH_1",62,"T1",2021-07-29
"251","00186D1697","M",151,"WEIGHT_2",6.6,"LENGTH_2",85,"T2",2021-08-30
"250","00186D1697","M",151,"WEIGHT_3",17.6,"LENGTH_3",114,"T3",2021-09-29
"246","00186D1697","M",151,"WEIGHT_4",37.8,"LENGTH_4",148,"T4",2021-11-04
"247","00186D1697","M",151,"WEIGHT_5",70,"LENGTH_5",180,"T5",2021-12-09
"248","00186D1697","M",151,"WEIGHT_6",103.3,"LENGTH_6",208,"T6",2022-01-06
"249","00186D1697","M",151,"WEIGHT_7",231,"LENGTH_7",270,"T7",2022-03-30
"257","00186D1699","F",152,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29
"255","00186D1699","F",152,"WEIGHT_2",4.3,"LENGTH_2",73,"T2",2021-08-30
"254","00186D1699","F",152,"WEIGHT_3",11.2,"LENGTH_3",100,"T3",2021-09-29
