"","TAGNUMBER","TANK_Real","T1","LENGTH_1","WEIGHT_1","T2","LENGTH_2","WEIGHT_2","T3","LENGTH_3","WEIGHT_3","T4","LENGTH_4","WEIGHT_4","T5","LENGTH_5","WEIGHT_5","T6","LENGTH_6","WEIGHT_6","T7","LENGTH_7","WEIGHT_7","DATE"
"26","00186D164E",151,2021-07-29,56,1.9,2021-08-30,80,5.8,2021-09-29,111,17.1,2021-11-04,141,39.7,2021-12-09,178,75.7,2022-01-06,207,113.8,2022-03-30,268,268.6,2022-03-30
"27","00186D164F",151,2021-07-29,56,1.8,2021-08-30,77,4.6,2021-09-29,103,11.6,2021-11-04,116,16.6,2021-12-09,141,29.1,2022-01-06,164,46.5,NA,NA,NA,NA
"28","00186D1650",151,2021-07-29,53,1.5,2021-08-30,65,2.7,2021-09-29,89,7.7,2021-11-04,111,15.2,2021-12-09,145,33.5,2022-01-06,172,54.3,2022-03-30,240,148.9,2022-03-30
"29","00186D1651",202,2021-07-29,64,2.9,2021-08-30,85,7,2021-09-29,110,14.9,2021-11-04,135,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","00186D1651",202,2021-07-29,64,2.9,2021-08-30,85,7,2021-09-29,110,14.9,2021-11-04,138,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","00186D1652",201,2021-07-29,53,1.5,2021-08-30,64,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","00186D1653",201,2021-07-29,65,3.1,2021-08-30,86,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","00186D1654",152,2021-07-29,62,2.8,2021-08-30,88,7.9,2021-09-29,118,18.7,2021-11-04,147,36.5,2021-12-09,180,66,2022-01-06,204,91.6,2022-03-30,265,207.7,2022-03-30
"34","00186D1655",202,2021-07-29,71,3.7,2021-08-30,90,8.3,2021-09-29,111,14.7,2021-11-04,135,28.8,2021-12-09,169,58.5,2022-01-06,186,71.8,2022-03-30,225,140.2,2022-03-30
"35","00186D1656",202,2021-07-29,57,2,2021-08-30,79,5.6,2021-09-29,95,9.9,2021-11-04,129,25.9,2021-12-09,160,51,2022-01-06,180,74.7,NA,NA,NA,NA
"36","00186D1657",152,2021-07-29,69,3.6,2021-08-30,92,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","00186D1658",152,2021-07-29,58,1.9,2021-08-30,73,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","00186D1659",202,2021-07-29,57,2.1,2021-08-30,77,4.9,2021-09-29,76,4,2021-11-04,85,7.5,2021-12-09,120,21.9,2022-01-06,148,41.3,NA,NA,NA,NA
"39","00186D165A",152,2021-07-29,56,2,2021-08-30,80,5.6,2021-09-29,103,12.9,2021-11-04,130,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","00186D165B",202,2021-07-29,53,1.7,2021-08-30,63,2.9,2021-09-29,75,4.5,2021-11-04,105,13.3,2021-12-09,126,24.6,NA,NA,NA,NA,NA,NA,NA
"41","00186D165C",201,2021-07-29,57,2.2,2021-08-30,71,4.5,2021-09-29,88,8.2,2021-11-04,118,22.4,2021-12-09,146,42,2022-01-06,157,55.6,2022-03-30,193,94.2,2022-03-30
"42","00186D165E",201,2021-07-29,58,2.1,2021-08-30,71,4,2021-09-29,80,5.7,2021-11-04,90,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","00186D165E",201,2021-07-29,58,2.1,2021-08-30,71,4,2021-09-29,80,5.7,2021-11-04,92,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","00186D165F",201,2021-07-29,62,2.6,2021-08-30,83,6.6,2021-09-29,110,14,2021-11-04,132,28.2,2021-12-09,160,61.1,2022-01-06,195,92.2,NA,NA,NA,NA
"45","00186D1660",201,2021-07-29,63,3,2021-08-30,76,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","00186D1661",202,2021-07-29,63,2.6,2021-08-30,78,5.5,2021-09-29,90,8.7,2021-11-04,109,14.5,2021-12-09,129,22.7,2022-01-06,142,30.1,2022-03-30,180,65.4,2022-03-30
"47","00186D1662",201,2021-07-29,58,2,2021-08-30,70,4,2021-09-29,70,3.3,2021-11-04,76,4.5,2021-12-09,93,9.7,2022-01-06,117,17.8,2022-03-30,172,60.6,2022-03-30
"48","00186D1663",202,2021-07-29,52,1.5,2021-08-30,65,3.1,2021-09-29,71,4,2021-11-04,84,7.3,2021-12-09,103,12.6,2022-01-06,112,15.3,2022-03-30,150,40.3,2022-03-30
"49","00186D1664",151,2021-07-29,50,1.5,2021-08-30,68,3.3,2021-09-29,93,9.2,2021-11-04,116,18.4,2021-12-09,141,34.9,2022-01-06,172,66.8,2022-03-30,240,178.8,2022-03-30
"50","00186D1665",151,2021-07-29,65,3,2021-08-30,89,7.4,2021-09-29,120,18.8,2021-11-04,150,37.1,2021-12-09,185,72.5,2022-01-06,212,109.3,NA,NA,NA,NA
"51","00186D1666",151,2021-07-29,65,3.1,2021-08-30,90,8.4,2021-09-29,125,23.3,2021-11-04,164,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","00186D1667",152,2021-07-29,61,2.5,2021-08-30,85,6,2021-09-29,116,17.2,2021-11-04,146,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","00186D1667",152,2021-07-29,61,2.5,2021-08-30,85,6,2021-09-29,116,17.2,2021-11-04,145,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","00186D1668",201,2021-07-29,51,1.2,2021-08-30,62,2.5,2021-09-29,70,3.7,2021-11-04,78,5.6,2021-12-09,95,9,NA,NA,NA,NA,NA,NA,NA
"55","00186D1669",201,2021-07-29,50,1.4,2021-08-30,62,2.7,2021-09-29,61,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","00186D166A",152,2021-07-29,59,2.3,2021-08-30,75,4.6,2021-09-29,95,9.6,2021-11-04,112,15.1,2021-12-09,125,21,2022-01-06,135,27.6,NA,NA,NA,NA
"57","00186D166B",201,2021-07-29,56,1.7,2021-08-30,75,4.5,2021-09-29,88,7.8,2021-11-04,115,19.8,2021-12-09,137,32.5,2022-01-06,153,47.4,NA,NA,NA,NA
"58","00186D166C",152,2021-07-29,68,3.4,2021-08-30,96,9.6,2021-09-29,128,22.6,2021-11-04,168,49.1,2021-12-09,202,88.2,2022-01-06,212,118.5,2022-03-30,303,321,2022-03-30
"59","00186D166D",152,2021-07-29,63,2.7,2021-08-30,89,7.9,2021-09-29,120,21.1,2021-11-04,152,42.2,2021-12-09,185,81.6,2022-01-06,215,124.3,2022-03-30,286,301.3,2022-03-30
"60","00186D166E",202,2021-07-29,61,2.6,2021-08-30,71,4.2,2021-09-29,78,4.8,2021-11-04,86,7.1,2021-12-09,102,11.2,2022-01-06,115,16.3,2022-03-30,150,37.2,2022-03-30
"61","00186D166F",202,2021-07-29,60,2.5,2021-08-30,83,6,2021-09-29,88,7.2,2021-11-04,112,15.7,2021-12-09,135,27.2,2022-01-06,148,35.8,NA,NA,NA,NA
"62","00186D1670",201,2021-07-29,59,2.3,2021-08-30,75,5.2,2021-09-29,95,10.7,2021-11-04,120,22.2,2021-12-09,148,39.6,2022-01-06,157,54.4,2022-03-30,202,105.3,2022-03-30
"63","00186D1671",201,2021-07-29,57,2,2021-08-30,81,6.3,2021-09-29,102,12.3,2021-11-04,132,29,2021-12-09,156,45.7,2022-01-06,171,64,2022-03-30,223,145.5,2022-03-30
"64","00186D1672",151,2021-07-29,66,3.1,2021-08-30,80,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","00186D1673",151,2021-07-29,51,1.4,2021-08-30,73,4.1,2021-09-29,98,9.9,2021-11-04,119,19.5,2021-12-09,148,34.1,2022-01-06,173,52.1,2022-03-30,240,142.4,2022-03-30
"66","00186D1674",202,2021-07-29,64,2.8,2021-08-30,88,7.7,2021-09-29,95,8.6,2021-11-04,131,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","00186D1674",202,2021-07-29,64,2.8,2021-08-30,88,7.7,2021-09-29,95,8.6,2021-11-04,134,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","00186D1675",152,2021-07-29,52,1.5,2021-08-30,73,4.2,2021-09-29,102,11.8,2021-11-04,132,27.9,2021-12-09,168,57.8,2022-01-06,196,90.4,NA,NA,NA,NA
"69","00186D1676",202,2021-07-29,67,3.1,2021-08-30,86,7.2,2021-09-29,103,12.5,2021-11-04,134,27.8,2021-12-09,167,58.8,2022-01-06,184,77.3,NA,NA,NA,NA
"70","00186D1677",151,2021-07-29,55,1.5,2021-08-30,74,4.1,2021-09-29,101,11.9,2021-11-04,128,22.3,2021-12-09,170,57.1,2022-01-06,217,92.3,2022-03-30,280,263.3,2022-03-30
"71","00186D1678",151,2021-07-29,53,1.4,2021-08-30,65,3,2021-09-29,85,6.4,2021-11-04,97,9.1,2021-12-09,107,12.8,2022-01-06,123,18.3,NA,NA,NA,NA
"72","00186D1679",202,2021-07-29,50,1.4,2021-08-30,61,2.6,2021-09-29,61,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","00186D167A",201,2021-07-29,57,2,2021-08-30,76,5.5,2021-09-29,82,6.7,2021-11-04,86,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","00186D167A",201,2021-07-29,57,2,2021-08-30,76,5.5,2021-09-29,82,6.7,2021-11-04,87,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","00186D167B",201,2021-07-29,58,2.2,2021-08-30,76,5.3,2021-09-29,85,7.4,2021-11-04,105,15,2021-12-09,125,26.5,2022-01-06,145,40.8,NA,NA,NA,NA
