"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6"
"54","00186D1668",201,32,2.32016017581933,62,1.83273944572326,98,1.58430175657731,133,1.52649843749002,NA,NA,NA,NA
"55","00186D1669",201,32,2.07364336026272,62,0.576940093230527,NA,NA,NA,NA,NA,NA,NA,NA
"56","00186D166A",152,32,2.18971486541166,62,2.33136434970509,98,1.93874361425279,133,1.67676974346369,161,1.55539252488439,NA,NA
"57","00186D166B",201,32,3.08877103879339,62,2.48768999664895,98,2.53679955747399,133,2.24329696337842,161,2.08858900901829,NA,NA
"58","00186D166C",152,32,3.29689324257061,62,3.10226782999736,98,2.76203105084241,133,2.47820300086139,161,2.23018033974569,244,1.88127452905014
"59","00186D166D",152,32,3.41195034321142,62,3.37176089752085,98,2.84499226848285,133,2.59596332591889,161,2.40705085806596,244,1.95110757628714
"60","00186D166E",202,32,1.50995218371923,62,0.993783739030007,98,1.03035703525709,133,1.10409752781881,161,1.14668212398314,244,1.0964582252833
"61","00186D166F",202,32,2.77360753628788,62,1.72075061608705,98,1.89255332122658,133,1.81088256562913,161,1.66694422802529,NA,NA
"62","00186D1670",201,32,2.58198760778205,62,2.5105690188576,98,2.34042007715025,133,2.16284713318879,161,1.98430970192558,244,1.57951846459132
"63","00186D1671",201,32,3.65069173727062,62,2.97310114705931,98,2.76629371484935,133,2.38048663472801,161,2.17596724350335,244,1.77250473125226
"64","00186D1672",151,32,2.13780124402283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","00186D1673",151,32,3.41487096616913,62,3.20523530706118,98,2.72414047665839,133,2.42966727281348,161,2.27181439422168,244,1.91238733584691
"66","00186D1674",202,32,3.21175116862575,62,1.82638581188121,98,2.25907428890189,NA,NA,NA,NA,NA,NA
"67","00186D1674",202,32,3.21175116862575,62,1.82638581188121,98,2.33164769072363,NA,NA,NA,NA,NA,NA
"68","00186D1675",152,32,3.26988383078417,62,3.38278751089707,98,3.02774958419976,133,2.78354284590121,161,2.57850846427783,NA,NA
"69","00186D1676",202,32,2.66835121068942,62,2.27439246771772,98,2.26364213839969,133,2.23724549636035,161,2.01778429953869,NA,NA
"70","00186D1677",151,32,3.19214587492733,62,3.39685998090615,98,2.79248454693357,133,2.77412686803689,161,2.59176161888355,244,2.14055070433552
"71","00186D1678",151,32,2.41027635654452,62,2.481624014288,98,1.9283594519981,133,1.67780916020861,161,1.60935243217066,NA,NA
"72","00186D1679",202,32,1.95333017266976,62,0.49376607439251,NA,NA,NA,NA,NA,NA,NA,NA
"73","00186D167A",201,32,3.21175116862575,62,1.96907146833234,98,1.34398485173357,NA,NA,NA,NA,NA,NA
"74","00186D167A",201,32,3.21175116862575,62,1.96907146833234,98,1.37156683329671,NA,NA,NA,NA,NA,NA
"75","00186D167B",201,32,2.7857507075342,62,1.97575278960194,98,1.97807794082663,133,1.88881004733656,161,1.83035350856475,NA,NA
"76","00186D167C",151,32,3.37732354296283,62,3.33220958649156,98,2.72950229331597,133,2.30581523816649,161,2.06820052252732,244,1.73089938882212
"77","00186D167D",152,32,3.08877103879339,62,2.88254861309738,98,2.51544810346849,133,2.30793692212292,161,2.13189985448967,NA,NA
"78","00186D167E",201,32,2.46318909555943,62,2.31903862793785,98,2.25907428890189,133,2.16270856708636,161,1.96265372369706,244,1.53828229477535
"79","00186D167F",151,32,3.13080711036935,62,2.89393841619527,98,2.45518346916365,NA,NA,NA,NA,NA,NA
