"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"146","00186D164E",151,"WEIGHT_6",113.8,"LENGTH_6",207,"T6",2022-01-06
"147","00186D164E",151,"WEIGHT_7",268.6,"LENGTH_7",268,"T7",2022-03-30
"148","00186D164F",151,"WEIGHT_1",1.8,"LENGTH_1",56,"T1",2021-07-29
"149","00186D164F",151,"WEIGHT_2",4.6,"LENGTH_2",77,"T2",2021-08-30
"150","00186D164F",151,"WEIGHT_3",11.6,"LENGTH_3",103,"T3",2021-09-29
"151","00186D164F",151,"WEIGHT_4",16.6,"LENGTH_4",116,"T4",2021-11-04
"152","00186D164F",151,"WEIGHT_5",29.1,"LENGTH_5",141,"T5",2021-12-09
"153","00186D164F",151,"WEIGHT_6",46.5,"LENGTH_6",164,"T6",2022-01-06
"154","00186D164F",151,"WEIGHT_7",70.1,"LENGTH_7",183,"T7",2022-02-04
"155","00186D1650",151,"WEIGHT_1",1.5,"LENGTH_1",53,"T1",2021-07-29
"156","00186D1650",151,"WEIGHT_2",2.7,"LENGTH_2",65,"T2",2021-08-30
"157","00186D1650",151,"WEIGHT_3",7.7,"LENGTH_3",89,"T3",2021-09-29
"158","00186D1650",151,"WEIGHT_4",15.2,"LENGTH_4",111,"T4",2021-11-04
"159","00186D1650",151,"WEIGHT_5",33.5,"LENGTH_5",145,"T5",2021-12-09
"160","00186D1650",151,"WEIGHT_6",54.3,"LENGTH_6",172,"T6",2022-01-06
"161","00186D1650",151,"WEIGHT_7",148.9,"LENGTH_7",240,"T7",2022-03-30
"162","00186D1651",202,"WEIGHT_1",2.9,"LENGTH_1",64,"T1",2021-07-29
"163","00186D1651",202,"WEIGHT_2",7,"LENGTH_2",85,"T2",2021-08-30
"164","00186D1651",202,"WEIGHT_3",14.9,"LENGTH_3",110,"T3",2021-09-29
"165","00186D1651",202,"WEIGHT_4",28.2,"LENGTH_4",135,"T4",2021-11-04
"166","00186D1651",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"167","00186D1651",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"168","00186D1651",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"169","00186D1652",201,"WEIGHT_1",1.5,"LENGTH_1",53,"T1",2021-07-29
"170","00186D1652",201,"WEIGHT_2",2.8,"LENGTH_2",64,"T2",2021-08-30
"171","00186D1652",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"172","00186D1652",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"173","00186D1652",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"174","00186D1652",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"175","00186D1652",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"176","00186D1653",201,"WEIGHT_1",3.1,"LENGTH_1",65,"T1",2021-07-29
"177","00186D1653",201,"WEIGHT_2",6.8,"LENGTH_2",86,"T2",2021-08-25
"178","00186D1653",201,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"179","00186D1653",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"180","00186D1653",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"181","00186D1653",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"182","00186D1653",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"183","00186D1654",152,"WEIGHT_1",2.8,"LENGTH_1",62,"T1",2021-07-29
"184","00186D1654",152,"WEIGHT_2",7.9,"LENGTH_2",88,"T2",2021-08-30
"185","00186D1654",152,"WEIGHT_3",18.7,"LENGTH_3",118,"T3",2021-09-29
"186","00186D1654",152,"WEIGHT_4",36.5,"LENGTH_4",147,"T4",2021-11-04
"187","00186D1654",152,"WEIGHT_5",66,"LENGTH_5",180,"T5",2021-12-09
"188","00186D1654",152,"WEIGHT_6",91.6,"LENGTH_6",204,"T6",2022-01-06
"189","00186D1654",152,"WEIGHT_7",207.7,"LENGTH_7",265,"T7",2022-03-30
"190","00186D1655",202,"WEIGHT_1",3.7,"LENGTH_1",71,"T1",2021-07-29
"191","00186D1655",202,"WEIGHT_2",8.3,"LENGTH_2",90,"T2",2021-08-30
"192","00186D1655",202,"WEIGHT_3",14.7,"LENGTH_3",111,"T3",2021-09-29
"193","00186D1655",202,"WEIGHT_4",28.8,"LENGTH_4",135,"T4",2021-11-04
"194","00186D1655",202,"WEIGHT_5",58.5,"LENGTH_5",169,"T5",2021-12-09
