"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"214","00186D165E",201,"SGR_4",NA,"T5minusT1",NA
"215","00186D165E",201,"SGR_5",NA,"T6minusT1",NA
"216","00186D165E",201,"SGR_6",NA,"T7minusT1",NA
"217","00186D165F",201,"SGR_1",2.95390665491486,"T2minusT1",32
"218","00186D165F",201,"SGR_2",2.75259945295414,"T3minusT1",62
"219","00186D165F",201,"SGR_3",2.46228537034585,"T4minusT1",98
"220","00186D165F",201,"SGR_4",2.40208065135765,"T5minusT1",133
"221","00186D165F",201,"SGR_5",2.2411729969219,"T6minusT1",161
"222","00186D165F",201,"SGR_6",1.8888093051888,"T7minusT1",202
"223","00186D1660",201,"SGR_1",1.83373202915686,"T2minusT1",27
"224","00186D1660",201,"SGR_2",NA,"T3minusT1",NA
"225","00186D1660",201,"SGR_3",NA,"T4minusT1",NA
"226","00186D1660",201,"SGR_4",NA,"T5minusT1",NA
"227","00186D1660",201,"SGR_5",NA,"T6minusT1",NA
"228","00186D1660",201,"SGR_6",NA,"T7minusT1",NA
"229","00186D1661",202,"SGR_1",2.36898964192929,"T2minusT1",32
"230","00186D1661",202,"SGR_2",1.96718215484877,"T3minusT1",62
"231","00186D1661",202,"SGR_3",1.76917923994837,"T4minusT1",98
"232","00186D1661",202,"SGR_4",1.6425571889273,"T5minusT1",133
"233","00186D1661",202,"SGR_5",1.53275455219071,"T6minusT1",161
"234","00186D1661",202,"SGR_6",1.33049914875405,"T7minusT1",244
"235","00186D1662",201,"SGR_1",2.18971486541166,"T2minusT1",32
"236","00186D1662",201,"SGR_2",0.810972790448861,"T3minusT1",62
"237","00186D1662",201,"SGR_3",0.830912889472213,"T4minusT1",98
"238","00186D1662",201,"SGR_4",1.19427724845023,"T5minusT1",133
"239","00186D1662",201,"SGR_5",1.3670557343209,"T6minusT1",161
"240","00186D1662",201,"SGR_6",1.40782923469622,"T7minusT1",244
"241","00186D1663",202,"SGR_1",2.29448048961669,"T2minusT1",32
"242","00186D1663",202,"SGR_2",1.59456226004924,"T3minusT1",62
"243","00186D1663",202,"SGR_3",1.62781009020267,"T4minusT1",98
"244","00186D1663",202,"SGR_4",1.61304556554565,"T5minusT1",133
"245","00186D1663",202,"SGR_5",1.45293074669892,"T6minusT1",161
"246","00186D1663",202,"SGR_6",1.35786022774216,"T7minusT1",244
"247","00186D1664",151,"SGR_1",2.49453483760647,"T2minusT1",32
"248","00186D1664",151,"SGR_2",2.96859416973916,"T3minusT1",62
"249","00186D1664",151,"SGR_3",2.59104526926792,"T4minusT1",98
"250","00186D1664",151,"SGR_4",2.39439793470304,"T5minusT1",133
"251","00186D1664",151,"SGR_5",2.38593030799823,"T6minusT1",161
"252","00186D1664",151,"SGR_6",1.97866654612999,"T7minusT1",244
"253","00186D1665",151,"SGR_1",2.86164182605724,"T2minusT1",32
"254","00186D1665",151,"SGR_2",3.00431752187129,"T3minusT1",62
"255","00186D1665",151,"SGR_3",2.59954510567564,"T4minusT1",98
"256","00186D1665",151,"SGR_4",2.42362111697654,"T5minusT1",133
"257","00186D1665",151,"SGR_5",2.25834296739136,"T6minusT1",161
"258","00186D1665",151,"SGR_6",2.01811400921921,"T7minusT1",190
"259","00186D1666",151,"SGR_1",3.16411924026738,"T2minusT1",32
"260","00186D1666",151,"SGR_2",3.30680712871538,"T3minusT1",62
"261","00186D1666",151,"SGR_3",NA,"T4minusT1",NA
