"","TAGNUMBER","TANK_Real","T2minusT1","SGR_1","T3minusT1","SGR_2","T4minusT1","SGR_3","T5minusT1","SGR_4","T6minusT1","SGR_5","T7minusT1","SGR_6","K1","K2","K3","K4","K5","K6","K7"
"345","00187293ED",201,32,1.23266700228808,62,1.2193354458923,98,1.56033647545375,NA,NA,NA,NA,NA,NA,1.0489745225068,1.07871720116618,1.07496567208679,1.15428337038377,NA,NA,NA
"346","00187293ED",201,32,1.23266700228808,62,1.2193354458923,98,1.56033647545375,NA,NA,NA,NA,NA,NA,1.0489745225068,1.07871720116618,1.07496567208679,1.21123001470476,NA,NA,NA
"347","00187293EE",152,32,2.94241689251606,62,3.04995958047538,98,2.6518472187995,NA,NA,NA,NA,NA,NA,1.08131487889273,1.14123287653055,1.14862710214494,1.12060100722255,NA,NA,NA
"348","00187293F1",202,32,2.23258931392898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991298010973937,1.22124974557297,NA,NA,NA,NA,NA
"349","00187293F2",151,32,1.2751399143162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15674152001924,1.11328125,NA,NA,NA,NA,NA
"350","00187293F4",202,32,0.980950980082396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1444091796875,NA,NA,NA,NA,NA,NA
"351","00187293F6",151,32,3.09993811610021,62,3.18833704730597,98,2.73882064595508,133,2.52579920031368,161,2.1839737122465,244,1.78970502073426,1.01770812131081,1.16598079561043,1.20373997711819,1.21378939948307,1.19084947487314,1.10390421219828,1.15388771692709
"352","00187293F7",202,32,2.28802922261735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16522530723714,1.19702267813874,NA,NA,NA,NA,NA
"353","00187293F8",151,32,2.32767515560173,62,2.42287759079882,98,2.18588087575369,133,2.01843754186142,161,1.9794279007519,244,1.65524145153875,1.13045820130801,1.15611642580908,1.12697220135237,1.23045190193951,1.16215514843117,1.26033996012082,1.11281871795654
"354","00187293FA",202,32,2.69746597439813,62,2.3119101089228,98,2.2115864844368,133,2.22451772638852,161,2.0905508014037,NA,NA,1.16522530723714,1.22124974557297,1.28117899526449,1.27172589974607,1.32899240337257,1.34694383710738,NA
"355","00187293FB",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14784205693297,NA,NA,NA,NA,NA,NA
"356","00187293FC",201,32,3.11254897410373,62,2.69744940805958,98,2.61077300328232,133,2.41962756921439,161,2.24111559753077,NA,NA,1.00701554160653,1.11929792037944,1.07979699816435,1.21932632220698,1.33233365975893,1.36607986767486,NA
"357","0018729461",201,32,1.50995218371923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13702623906706,1.14261255640516,NA,NA,NA,NA,NA
"358","0018729463",201,32,1.92743054326894,62,1.20794790930432,98,1.32468449290231,133,1.64767869190654,161,1.57714800479651,244,1.47460016145706,0.925118926472521,1.02040816326531,0.948148148148148,0.978766442212353,1.01641355737441,1.12533569335938,1.15912208504801
"359","0018729464",202,32,2.36898964192929,62,1.41154345494001,98,1.57284842378522,133,1.51862901164319,161,1.51361241118981,244,1.35635098781786,0.9918212890625,1.25291587694999,1.00956645634032,1.0667956304051,1.11689814814815,1.11108067054479,1.0992438749926
"360","0018729465",152,32,2.62348775304133,62,3.27066802475229,98,2.9781079469382,133,2.60830670322059,161,2.37873463011318,244,1.90917705299607,1.03071188942789,1.11625391474964,1.08718872070312,1.11947893344189,1.17232702357867,1.06533226191346,1.20650862239157
"361","0018729467",202,32,2.95390665491486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09093350340707,1.24190643928489,NA,NA,NA,NA,NA
"362","0018729469",201,32,2.73998262362902,62,2.19097095674567,98,2.08881547101047,133,1.93236640142289,161,1.82880140509247,244,1.44436005303692,1.05735722373238,1.11328125,1.07304271759732,1.08001678179922,1.11516034985423,1.083984375,1.0708204791045
"363","001872946A",201,32,3.05450487885108,62,2.29996149960312,98,1.96210048889225,NA,NA,NA,NA,NA,NA,1.0364637829941,1.1336711673412,1.13092791978302,1.22610401536021,NA,NA,NA
"364","001872946A",201,32,3.05450487885108,62,2.29996149960312,98,1.96210048889225,NA,NA,NA,NA,NA,NA,1.0364637829941,1.1336711673412,1.13092791978302,1.10967771966632,NA,NA,NA
"365","001872946A",201,32,3.05450487885108,62,2.29996149960312,98,1.90524811463657,NA,NA,NA,NA,NA,NA,1.0364637829941,1.1336711673412,1.13092791978302,1.22610401536021,NA,NA,NA
"366","001872946A",201,32,3.05450487885108,62,2.29996149960312,98,1.90524811463657,NA,NA,NA,NA,NA,NA,1.0364637829941,1.1336711673412,1.13092791978302,1.10967771966632,NA,NA,NA
"367","001872946B",202,32,2.46795759855016,62,2.24229511182967,98,2.35338305248312,NA,NA,NA,NA,NA,NA,1.07119033591555,1.13777777777778,1.23409681844166,1.24421296296296,NA,NA,NA
"368","001872946B",202,32,2.46795759855016,62,2.24229511182967,98,2.35338305248312,NA,NA,NA,NA,NA,NA,1.07119033591555,1.13777777777778,1.23409681844166,1.16599696584526,NA,NA,NA
"369","001872946B",202,32,2.46795759855016,62,2.24229511182967,98,2.17949744047052,NA,NA,NA,NA,NA,NA,1.07119033591555,1.13777777777778,1.23409681844166,1.24421296296296,NA,NA,NA
"370","001872946B",202,32,2.46795759855016,62,2.24229511182967,98,2.17949744047052,NA,NA,NA,NA,NA,NA,1.07119033591555,1.13777777777778,1.23409681844166,1.16599696584526,NA,NA,NA
"371","001872946C",151,32,3.04694096441689,62,2.88686864361163,98,2.4267720809672,NA,NA,NA,NA,NA,NA,1.12881201638598,1.23006273319939,1.22169844432565,1.21014931753164,NA,NA,NA
"372","001872946D",202,32,1.57156865694841,62,1.52693974177507,98,1.91890450451506,133,1.93501379169765,161,1.84370837911167,244,1.56409768546872,1.08131487889273,1.13581278560114,1.0474557660634,1.23619790681777,1.23867819653011,1.16135787260878,1.37098383993928
"373","001872946E",152,32,2.43898300328491,62,2.58450962829491,98,2.2705182128046,NA,NA,NA,NA,NA,NA,1.07871720116618,1.06161197816795,1.09553557082272,1.0514641323233,NA,NA,NA
"374","001872946F",151,32,2.03402567950237,62,2.481624014288,98,2.18113298006493,133,2.10424559267868,161,2.11869912787017,244,1.78361789817769,1.02249986610121,0.987108364756283,1.01998317027769,1.08640476819307,1.05461222852786,1.05281207133059,1.10707449531797
"375","0018729470",151,32,1.64522907917761,62,2.28454199461166,98,2.09110248460793,133,2.06427219969927,161,1.98367727612945,244,1.7196270380375,1.1131182576837,1.11018908966376,1.06686701728024,1.13064616428289,1.11775861138106,1.1326619720316,1.20529027317853
"376","0018729471",202,32,3.08646090029432,62,2.24778910996617,98,2.1487454753859,133,2.01460168705572,161,1.89821425873886,244,1.544582293008,0.985904742519845,1.20327761081893,1.15905647149287,1.27488,1.41381996159551,1.30266639527783,1.40913508260447
"377","0018729472",152,32,3.32071918229742,62,2.88217609251187,98,2.43828635774932,NA,NA,NA,NA,NA,NA,1.11049691035082,1.10571212612029,1.11364396632375,1.08140116945488,NA,NA,NA
"378","0018729473",202,32,1.51439201002481,62,1.30582793890173,98,1.631147295003,133,1.80272773900756,161,1.68499860598974,244,1.36082074489388,1.1826251495673,1.15898784537838,1.19486334536582,1.35505447563881,1.20054122760261,1.15684430422742,1.24074916974325
"379","0018729474",201,32,1.56346141156192,62,1.74819339611771,98,1.90524811463657,133,1.98224390900998,161,1.84328727515106,244,1.51316903556884,1.0195721438325,1.09037037037037,1.12482853223594,1.1403706589036,1.12888888888889,1.17984250215655,1.18021811899363
"380","0018729475",201,32,3.46351232731303,62,3.18833704730597,98,2.74954807610217,133,2.40429124364991,161,2.19445725396967,NA,NA,1.07871720116618,1.20525094968296,1.23500823974609,1.31353772278831,1.27132235019682,1.31627254076234,NA
"381","0018729478",202,32,2.86164182605724,62,2.45151116257183,98,1.95122195344091,133,1.9380227373111,161,1.73173069030674,NA,NA,1.15676178675996,1.14397726886248,1.22943436281217,1.18865128231223,1.28669616272922,1.18436086314362,NA
"382","001872947A",201,32,1.8538068771883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999812035337357,1.11049691035082,NA,NA,NA,NA,NA
"383","001872947B",202,32,2.53903068359895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08965636708567,1.15450302625765,NA,NA,NA,NA,NA
"384","001872947C",152,32,2.28802922261735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01770812131081,1.2890625,NA,NA,NA,NA,NA
"385","001872947D",151,32,2.72458506958442,62,2.67440380174482,98,2.25145804280253,133,2.08665132266046,161,2.034225904722,244,1.75534898242506,0.969244121754684,1.015625,1.06482423803816,1.04789864079486,1.05805677847314,1.10642773592262,1.0704648096193
"386","001872947E",201,32,1.83903793795033,62,1.76478841840049,98,2.04796654210992,NA,NA,NA,NA,NA,NA,1.00701554160653,1.15204903978052,1.15611642580908,1.31480090157776,NA,NA,NA
"387","001872947F",152,32,2.38349877167774,62,2.78774388035301,98,2.68163936354231,133,2.60302124115115,161,2.40133249758334,244,1.89256781192442,1.01610526850582,1.03497925475406,1.13010602449248,1.09568,1.12682638814967,1.08127820117966,1.0816154847195
"388","0018729480",202,32,2.82130076160203,62,2.21830926037851,98,2.16440675048741,133,1.96073808667692,161,1.7122376853816,NA,NA,1.13702623906706,1.14377353765543,1.17371888969282,1.21001251107276,1.23643723008348,1.08201044031874,NA
"389","0018729481",201,32,1.6091394922277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995555555555556,1.31717349621124,NA,NA,NA,NA,NA
"390","0018729482",201,32,1.89961554048108,62,0.482601090037549,NA,NA,NA,NA,NA,NA,NA,NA,1.01330067274353,1.0796443343093,0.903790087463557,NA,NA,NA,NA
"391","0018729483",201,32,2.18971486541166,62,1.89803240985524,98,1.9740233831681,133,2.04410240794808,161,1.92756585511258,244,1.3949447173258,0.959819553923862,1.13777777777778,1.09224660942538,1.16020180393586,1.18553883744856,1.1143405755451,1.09559561239599
"392","0018729484",202,32,2.90479818648632,62,1.29369019945047,98,0.608689015882247,NA,NA,NA,NA,NA,NA,1.11305896429863,1.17392937640871,1.00713648401561,0.94443313657643,NA,NA,NA
"393","0018729485",201,32,2.29448048961669,62,2.38049692422744,98,2.32382622658107,NA,NA,NA,NA,NA,NA,0.997463118801182,1.08431986036758,1.14680530268548,1.26774227555735,NA,NA,NA
"394","0018729485",201,32,2.29448048961669,62,2.38049692422744,98,2.32382622658107,NA,NA,NA,NA,NA,NA,0.997463118801182,1.08431986036758,1.14680530268548,1.2061902594447,NA,NA,NA
"395","0018729485",201,32,2.29448048961669,62,2.38049692422744,98,2.24788487494598,NA,NA,NA,NA,NA,NA,0.997463118801182,1.08431986036758,1.14680530268548,1.26774227555735,NA,NA,NA
"396","0018729485",201,32,2.29448048961669,62,2.38049692422744,98,2.24788487494598,NA,NA,NA,NA,NA,NA,0.997463118801182,1.08431986036758,1.14680530268548,1.2061902594447,NA,NA,NA
"397","0018729486",151,32,3.42470923385236,62,3.15835270102758,98,2.63150941353889,133,2.43023169203707,161,2.31569069305002,NA,NA,1.13791533909877,1.07067356757545,1.20525094968296,1.15152681730971,1.17897827324424,1.19043731778426,NA
"398","0018729488",151,32,1.83731630250941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15204903978052,1.16931889452288,NA,NA,NA,NA,NA
"399","0018729489",151,32,2.94740067104775,62,2.60763669245978,98,2.23600673722539,133,2.05014734783442,161,1.9209444941487,NA,NA,0.952598689224203,1.06171646023732,1.04969154672049,1.09990126077232,1.06334686279297,1.01053888166401,NA
"400","001872948A",201,32,2.54953727947527,62,2.20117732852019,98,1.86959887672686,133,1.8889476956697,161,1.75555251972987,NA,NA,1.12525720164609,1.09636973319726,1.09345385624727,1.17432862994993,1.16838965656502,1.1291530846031,NA
"401","001872948B",201,32,2.65140551313507,62,2.27530233774242,98,1.93111468369609,133,2.04095706857397,161,1.76759448863915,NA,NA,1.10626220703125,1.17176501039723,1.13559047307534,1.1215558887915,1.26222222222222,1.18896484375,NA
"402","001872948D",152,32,3.49277670798647,62,3.32866923467627,98,2.91565894286432,133,2.58231860229186,161,2.2507436332625,244,1.73576758724812,1.0448816872428,1.04012573964497,1.0594954875124,1.1757846784797,1.16518042436515,1.15394098791814,1.24922614575507
"403","001872948E",151,32,2.94740067104775,62,3.00431752187129,98,2.57960483812589,NA,NA,NA,NA,NA,NA,0.985689972028309,1.07424746138363,1.07302996264942,1.1113372684714,NA,NA,NA
"404","001872948E",151,32,2.94740067104775,62,3.00431752187129,98,2.57960483812589,NA,NA,NA,NA,NA,NA,0.985689972028309,1.07424746138363,1.07302996264942,1.12911035012987,NA,NA,NA
"405","001872948E",151,32,2.94740067104775,62,3.00431752187129,98,2.57768600922623,NA,NA,NA,NA,NA,NA,0.985689972028309,1.07424746138363,1.07302996264942,1.1113372684714,NA,NA,NA
"406","001872948E",151,32,2.94740067104775,62,3.00431752187129,98,2.57768600922623,NA,NA,NA,NA,NA,NA,0.985689972028309,1.07424746138363,1.07302996264942,1.12911035012987,NA,NA,NA
"407","001872948F",152,32,2.59019712669804,62,2.95044494637955,98,2.73448228194721,133,2.59539591428066,161,2.49266108276875,244,2.07810269486808,1.0667956304051,1.03497925475406,1.02855541087963,1.10666812124467,1.12695565989225,1.22768870041536,1.21872418170705
"408","0018729490",201,32,3.01972362892933,62,2.614737612963,98,2.56803928782359,133,2.31551591052734,161,2.13019307052056,NA,NA,1.01851851851852,1.29847645429363,1.23200593171296,1.35168,1.26496879743633,1.4063450423546,NA
"409","0018729491",151,32,3.04175138099354,62,3.13584358827688,98,2.81394328681912,NA,NA,NA,NA,NA,NA,1.06481481481481,1.04934180035573,1.11037718658892,1.14477838369757,NA,NA,NA
"410","0018729491",151,32,3.04175138099354,62,3.13584358827688,98,2.81394328681912,NA,NA,NA,NA,NA,NA,1.06481481481481,1.04934180035573,1.11037718658892,1.12190822187929,NA,NA,NA
"411","0018729491",151,32,3.04175138099354,62,3.13584358827688,98,2.77099974964492,NA,NA,NA,NA,NA,NA,1.06481481481481,1.04934180035573,1.11037718658892,1.14477838369757,NA,NA,NA
"412","0018729491",151,32,3.04175138099354,62,3.13584358827688,98,2.77099974964492,NA,NA,NA,NA,NA,NA,1.06481481481481,1.04934180035573,1.11037718658892,1.12190822187929,NA,NA,NA
"413","0018729492",152,32,2.13605662576177,62,2.13263668855126,98,1.9283594519981,133,1.82620806865048,161,1.78761062618147,244,1.91695753740448,1.04349277902997,1.15234375,0.958859734369938,1.0738784303532,1.07000465275296,1.09666882626066,1.33266376158926
"414","0018729492",152,32,2.13605662576177,62,2.13263668855126,98,1.9283594519981,133,1.82620806865048,161,1.78761062618147,244,1.91695753740448,1.04349277902997,1.15234375,0.958859734369938,1.0738784303532,1.07000465275296,1.09666882626066,1.19045267489712
"415","0018729492",152,32,2.13605662576177,62,2.13263668855126,98,1.9283594519981,133,1.82620806865048,161,1.78761062618147,244,1.57418684156496,1.04349277902997,1.15234375,0.958859734369938,1.0738784303532,1.07000465275296,1.09666882626066,1.33266376158926
"416","0018729492",152,32,2.13605662576177,62,2.13263668855126,98,1.9283594519981,133,1.82620806865048,161,1.78761062618147,244,1.57418684156496,1.04349277902997,1.15234375,0.958859734369938,1.0738784303532,1.07000465275296,1.09666882626066,1.19045267489712
"417","0018729493",152,32,2.58523064071909,62,2.6557894007573,98,2.40185322208026,133,2.16136537878111,161,1.93845078123447,244,1.6367396643507,1.20852839405658,1.06917699479211,1.11689814814815,1.12984471751123,1.10122853595123,1.07698760897414,1.17587502687104
"418","0018729495",152,32,2.99542927399563,62,3.14243185224969,98,2.72593076684453,133,2.65146479947733,161,2.54247618468593,NA,NA,1.13395214721939,1.13791533909877,1.20065557473619,1.19087537468882,1.25096849173554,1.27316242795481,NA
"419","0018729496",201,32,2.76052617060469,62,2.09196863214844,98,1.93419734432341,133,1.65323960967498,161,1.50747353182712,244,1.246804870823,1.14553618078237,1.17989270200245,1.14283155049037,1.21984524351388,1.11975105127041,0.99687471033794,1.26868564768885
"420","0018729498",151,32,2.61702877186565,62,2.61401440098701,98,2.31066018198482,133,2.12682916171589,161,1.99606657374287,244,1.58577822571859,1.17347608763072,1.08506944444444,1.14547032571008,1.16740740740741,1.28746355685131,1.34404032333466,1.1106053709604
"421","0018729499",152,32,2.27724900170958,62,2.41428983400731,98,2.43389447637805,133,2.31957557617573,161,2.23987067629527,244,1.97913378632639,1.02496355685131,1.07871720116618,1.08367626886145,1.09953703703704,1.02044241549461,1.14873441747173,1.15424142077017
"422","001872949A",201,32,2.43265876138286,62,1.72912473094953,98,1.87214043953314,133,1.94414010499691,161,1.84916485167981,244,1.41377851244879,0.837074468788137,1.09846536351166,1.07421875,1.17,1.17301940917969,1.16640146831629,1.10857505584637
"423","001872949B",151,32,2.80321270248491,62,3.09045360960132,98,2.82338694510871,133,2.50903225979489,161,2.25465201436155,NA,NA,1.11049691035082,1.05794326124113,1.08236151603499,1.18141289437586,1.22253386494271,1.1939713383884,NA
"424","001872949C",151,32,2.93042521728919,62,2.96497990361311,98,2.83760560479933,133,2.68595233098252,161,2.45447732417092,244,1.98299193301037,1.0489745225068,1.06292517006803,1.08902377915452,1.14962962962963,1.23778976527191,1.21350755256763,1.1728560368879
