"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"2609",2609,"00187294B4","201","WEIGHT_1",2.1,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.13395214721939,"20",2021-07-29,0.978014660605515,0.0422912814753297,0.0190696969492959
"2610",2610,"00187294B4","201","WEIGHT_2",3.6,"LENGTH_2",67,"T2","2021-08-24","Day_in_Exp_T2",20,1.19695574256142,"20",2021-08-24,1.01826715253443,0.0286275560313755,0.011520853309467
"2617",2617,"00187294B5","151","WEIGHT_1",1.5,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,0.952598689224203,"15",2021-07-29,0.825384882108547,-0.0220528245631493,-0.00878483044412301
"2618",2618,"00187294B5","151","WEIGHT_2",2.9,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,0.92229798493792,"15",2021-08-30,0.783624493611397,-0.0518871763376924,-0.0256300808091166
"2619",2619,"00187294B5","151","WEIGHT_3",6.2,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.00956645634032,"15",2021-09-29,0.841655379650572,0.00288237434209737,0.00366455968941179
"2620",2620,"00187294B5","151","WEIGHT_4",11.5,"LENGTH_4",106,"T4","2021-11-04","Day_in_Exp_T4",98,0.965562175487147,"15",2021-11-04,0.790003919538846,-0.0534905048691727,-0.0260035960185627
"2621",2621,"00187294B5","151","WEIGHT_5",23.4,"LENGTH_5",132,"T5","2021-12-09","Day_in_Exp_T5",133,1.01740545955422,"15",2021-12-09,0.817043688757411,-0.0288274047508659,-0.0121772264657845
"2622",2622,"00187294B5","151","WEIGHT_6",44.9,"LENGTH_6",164,"T6","2022-01-06","Day_in_Exp_T6",161,1.01792269409904,"15",2022-01-06,0.802514835764636,-0.0334154545207594,-0.0117076316569575
"2624",2624,"00187294B5","151","WEIGHT_8",135.2,"LENGTH_8",235,"T8","2022-03-30","Day_in_Exp_T8",244,1.04177301753947,"15",2022-03-30,0.796585389361566,-0.0269107410985067,-0.0118615852869011
"2625",2625,"00187294B6","152","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"15",2021-07-29,0.993901626321763,0.0705993154851545,0.0328937065149229
"2626",2626,"00187294B6","152","WEIGHT_2",4.8,"LENGTH_2",78,"T2","2021-08-21","Day_in_Exp_T2",20,1.01148030142113,"15",2021-08-21,0.849433506563944,-0.0619427675500571,-0.0296170492115063
"2633",2633,"00187294B7","202","WEIGHT_1",1.1,"LENGTH_1",49,"T1","2021-07-29","Day_in_Exp_T1",0,0.934984572754549,"20",2021-07-29,0.816841470102611,-0.0378298386160242,-0.0160873682738849
"2634",2634,"00187294B7","202","WEIGHT_2",2.1,"LENGTH_2",59,"T2","2021-08-30","Day_in_Exp_T2",20,1.02249986610121,"20",2021-08-30,0.879307624225407,-0.0292799018660954,-0.00914952081702405
"2635",2635,"00187294B7","202","WEIGHT_3",1.9,"LENGTH_3",60,"T3","2021-09-29","Day_in_Exp_T3",62,0.87962962962963,"20",2021-09-29,0.75536523600454,-0.0995341054774318,-0.049874325114088
"2641",2641,"00187294B8","202","WEIGHT_1",4.4,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.28279883381924,"20",2021-07-29,1.08723950219643,0.145243631571001,0.0618102439693448
"2642",2642,"00187294B8","202","WEIGHT_2",8.7,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.19341563786008,"20",2021-08-30,0.990104674689038,-0.0058074133092596,-0.00389908116534226
"2643",2643,"00187294B8","202","WEIGHT_3",13,"LENGTH_3",104,"T3","2021-09-29","Day_in_Exp_T3",62,1.15569526627219,"20",2021-09-29,0.947099267167647,0.00487536377887998,0.00207434940800797
"2644",2644,"00187294B8","202","WEIGHT_4",22.3,"LENGTH_4",124,"T4","2021-11-04","Day_in_Exp_T4",98,1.16960659259508,"20",2021-11-04,0.94427602751352,-0.0593320709262697,-0.0268875792926916
"2645",2645,"00187294B8","202","WEIGHT_5",37.3,"LENGTH_5",145,"T5","2021-12-09","Day_in_Exp_T5",133,1.22350239862233,"20",2021-12-09,0.974739453531525,-0.0132887926493067,-0.00649634249279858
"2646",2646,"00187294B8","202","WEIGHT_6",49.5,"LENGTH_6",159,"T6","2022-01-06","Day_in_Exp_T6",161,1.23144161511404,"20",2022-01-06,0.973408356852748,-0.0038531245802611,-0.00182340277475169
"2648",2648,"00187294B8","202","WEIGHT_8",119,"LENGTH_8",210,"T8","2022-03-30","Day_in_Exp_T8",244,1.28495842781557,"20",2022-03-30,0.991974337708702,0.0214658438432794,0.0137658293826041
"2649",2649,"00187294B9","151","WEIGHT_1",3.3,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.04951150010177,"15",2021-07-29,0.891710630661244,-0.00891799887724676,-0.0038924855463975
"2650",2650,"00187294B9","151","WEIGHT_2",6.7,"LENGTH_2",86,"T2","2021-08-30","Day_in_Exp_T2",20,1.05336637025671,"15",2021-08-30,0.877297881478665,-0.0114047113372189,-0.00526609167451323
"2651",2651,"00187294B9","151","WEIGHT_3",13,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.12298887809092,"15",2021-09-29,0.91954791642845,0.02758398825318,0.0134295314162291
"2652",2652,"00187294B9","151","WEIGHT_4",24.3,"LENGTH_4",131,"T4","2021-11-04","Day_in_Exp_T4",98,1.08091709810679,"15",2021-11-04,0.868609003109188,-0.0280763441656264,-0.0134836048096784
"2653",2653,"00187294B9","151","WEIGHT_5",43.7,"LENGTH_5",156,"T5","2021-12-09","Day_in_Exp_T5",133,1.15108565552353,"15",2021-12-09,0.911364381145964,0.0123023647708922,0.00659445566142777
"2654",2654,"00187294B9","151","WEIGHT_6",59.6,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,1.11206997084548,"15",2022-01-06,0.871914458785578,-0.0172067543666127,-0.00436191116971441
"2656",2656,"00187294B9","151","WEIGHT_8",173.5,"LENGTH_8",250,"T8","2022-03-30","Day_in_Exp_T8",244,1.1104,"15",2022-03-30,0.844606758633556,-0.0320802946933108,-0.0151144586901549
"2657",2657,"00187294BA","151","WEIGHT_1",2.9,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.00870968639564,"15",2021-07-29,0.859221145982577,-0.0551678050366173,-0.0268598791714986
"2658",2658,"00187294BA","151","WEIGHT_2",6.4,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.04213311622227,"15",2021-08-30,0.868805553187687,-0.0336573611089007,-0.0163389903318832
"2659",2659,"00187294BA","151","WEIGHT_3",16.3,"LENGTH_3",114,"T3","2021-09-29","Day_in_Exp_T3",62,1.10020357140929,"15",2021-09-29,0.894614922386865,-0.0111093272691077,-0.00535710142715279
"2660",2660,"00187294BA","151","WEIGHT_4",38,"LENGTH_4",148,"T4","2021-11-04","Day_in_Exp_T4",98,1.17219118314809,"15",2021-11-04,0.932236718293456,0.021791049537938,0.0103698671151646
"2661",2661,"00187294BA","151","WEIGHT_5",84.5,"LENGTH_5",192,"T5","2021-12-09","Day_in_Exp_T5",133,1.19385895905671,"15",2021-12-09,0.928693526734965,0.0158711888791891,0.00792641681551776
"2662",2662,"00187294BA","151","WEIGHT_6",129.4,"LENGTH_6",219,"T6","2022-01-06","Day_in_Exp_T6",161,1.23197510458221,"15",2022-01-06,0.947685382753438,0.0448038481205432,0.0249799851399402
"2665",2665,"00187294BB","152","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,0.0414400017005663,0.0230141550617738
"2666",2666,"00187294BB","152","WEIGHT_2",3.5,"LENGTH_2",73,"T2","2021-08-24","Day_in_Exp_T2",20,0.899703611924415,"15",2021-08-24,0.759831022246059,-0.12133356359912,-0.0611591042616451
"2673",2673,"00187294BC","201","WEIGHT_1",3.1,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.03071188942789,"20",2021-07-29,0.876841159126868,-0.0481793964977203,-0.0228804400347814
"2674",2674,"00187294BC","201","WEIGHT_2",6.4,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.11929792037944,"20",2021-08-30,0.935026800178093,-0.0439099728193617,-0.0200425216240887
"2675",2675,"00187294BC","201","WEIGHT_3",14,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.14281702764719,"20",2021-09-29,0.9342843658893,0.00903577750137607,0.00487154189313076
"2676",2676,"00187294BC","201","WEIGHT_4",35.5,"LENGTH_4",141,"T4","2021-11-04","Day_in_Exp_T4",98,1.26640033019159,"20",2021-11-04,1.01131719286653,0.0246844094275848,0.0116144584337459
"2677",2677,"00187294BC","201","WEIGHT_5",72.6,"LENGTH_5",175,"T5","2021-12-09","Day_in_Exp_T5",133,1.35463556851312,"20",2021-12-09,1.06209714274888,0.0910442115688864,0.0394929646321425
