"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"129",129,"00186D164A","201","WEIGHT_1",2.8,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.068115234375,"20",2021-07-29,0.91220576292912,0.0094222063814251
"130",130,"00186D164A","201","WEIGHT_2",7.3,"LENGTH_2",87,"T2","2021-08-30","Day_in_Exp_T2",20,1.10857505584637,"20",2021-08-30,0.922371691984813,-0.0343280819357479
"131",131,"00186D164A","201","WEIGHT_3",12.9,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.1143505021056,"20",2021-09-29,0.912474470917461,0.00946288160643072
"132",132,"00186D164A","201","WEIGHT_4",23.1,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.18272,"20",2021-11-04,0.954211375777806,-0.0101844085842477
"137",137,"00186D164B","201","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,-0.0199974851066664
"138",138,"00186D164B","201","WEIGHT_2",8,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.17392937640871,"20",2021-08-30,0.975800291266284,0.00122779718245214
"139",139,"00186D164B","201","WEIGHT_3",13.3,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.14890400604686,"20",2021-09-29,0.940768252961414,0.019883943487112
"140",140,"00186D164B","201","WEIGHT_4",24.4,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.24928,"20",2021-11-04,1.00791158307266,0.0256430785473359
"145",145,"00186D164C","151","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,0.0197028404509707
"146",146,"00186D164C","151","WEIGHT_2",6.2,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.00956645634032,"15",2021-08-30,0.841655379650572,-0.0612463674442025
"147",147,"00186D164C","151","WEIGHT_3",17.2,"LENGTH_3",116,"T3","2021-09-29","Day_in_Exp_T3",62,1.10193119849112,"15",2021-09-29,0.894696112142905,-0.0114669703112548
"148",148,"00186D164C","151","WEIGHT_4",41.2,"LENGTH_4",151,"T4","2021-11-04","Day_in_Exp_T4",98,1.19664787561601,"15",2021-11-04,0.950065031667277,0.039180530113572
"149",149,"00186D164C","151","WEIGHT_5",81.5,"LENGTH_5",191,"T5","2021-12-09","Day_in_Exp_T5",133,1.16965426024678,"15",2021-12-09,0.910268828282953,-0.00299234237100987
"150",150,"00186D164C","151","WEIGHT_6",114.6,"LENGTH_6",216,"T6","2022-01-06","Day_in_Exp_T6",161,1.13716468526139,"15",2022-01-06,0.875779540731709,-0.0275408266993725
"152",152,"00186D164C","151","WEIGHT_8",250.5,"LENGTH_8",274,"T8","2022-03-30","Day_in_Exp_T8",244,1.21774412148001,"15",2022-03-30,0.919067150859785,0.0281809432540272
"153",153,"00186D164D","152","WEIGHT_1",2.2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.12755750543278,"15",2021-07-29,0.971062807664894,0.0314150857281824
"154",154,"00186D164D","152","WEIGHT_2",5.6,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.09375,"15",2021-08-30,0.916548428543069,-0.0111732566710356
"155",155,"00186D164D","152","WEIGHT_3",14.5,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.18363192149174,"15",2021-09-29,0.967651664671061,0.0366686440975711
"156",156,"00186D164D","152","WEIGHT_4",28.3,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.23045190193951,"15",2021-11-04,0.988134033839091,0.052429594166057
"157",157,"00186D164D","152","WEIGHT_5",48.5,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.18408203125,"15",2021-12-09,0.935473721322602,-0.00260738745069
"158",158,"00186D164D","152","WEIGHT_6",66.1,"LENGTH_6",180,"T6","2022-01-06","Day_in_Exp_T6",161,1.13340192043896,"15",2022-01-06,0.886514373121808,-0.0416259324286032
"160",160,"00186D164D","152","WEIGHT_8",164.3,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.18851273148148,"15",2022-03-30,0.907164157613959,-0.00854198811112894
"161",161,"00186D164E","151","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,-0.0613984075632134
"162",162,"00186D164E","151","WEIGHT_2",5.8,"LENGTH_2",80,"T2","2021-08-30","Day_in_Exp_T2",20,1.1328125,"15",2021-08-30,0.949282300991035,-0.0347206941179229
"163",163,"00186D164E","151","WEIGHT_3",17.1,"LENGTH_3",111,"T3","2021-09-29","Day_in_Exp_T3",62,1.25033726202463,"15",2021-09-29,1.01900125958077,0.0317369291124225
"164",164,"00186D164E","151","WEIGHT_4",39.7,"LENGTH_4",141,"T4","2021-11-04","Day_in_Exp_T4",98,1.41622797489031,"15",2021-11-04,1.13096598751553,0.138980237947642
"165",165,"00186D164E","151","WEIGHT_5",75.7,"LENGTH_5",178,"T5","2021-12-09","Day_in_Exp_T5",133,1.34225760281658,"15",2021-12-09,1.0508728511664,0.0565104324982498
"166",166,"00186D164E","151","WEIGHT_6",113.8,"LENGTH_6",207,"T6","2022-01-06","Day_in_Exp_T6",161,1.28301349881276,"15",2022-01-06,0.991685004749911,0.00726338930464576
"168",168,"00186D164E","151","WEIGHT_8",268.6,"LENGTH_8",268,"T8","2022-03-30","Day_in_Exp_T8",244,1.39540934223957,"15",2022-03-30,1.05514019788318,0.0831527422632385
"169",169,"00186D164F","151","WEIGHT_1",1.8,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.02496355685131,"15",2021-07-29,0.885344801938439,0.00505593838576579
"170",170,"00186D164F","151","WEIGHT_2",4.6,"LENGTH_2",77,"T2","2021-08-30","Day_in_Exp_T2",20,1.00759419362894,"15",2021-08-30,0.847098562045403,-0.021264264784663
"171",171,"00186D164F","151","WEIGHT_3",11.6,"LENGTH_3",103,"T3","2021-09-29","Day_in_Exp_T3",62,1.06156432484966,"15",2021-09-29,0.870673148414538,-0.000951013774913356
"172",172,"00186D164F","151","WEIGHT_4",16.6,"LENGTH_4",116,"T4","2021-11-04","Day_in_Exp_T4",98,1.06349173807864,"15",2021-11-04,0.863485782649548,-0.0128597986394483
"173",173,"00186D164F","151","WEIGHT_5",29.1,"LENGTH_5",141,"T5","2021-12-09","Day_in_Exp_T5",133,1.03809153826973,"15",2021-12-09,0.828995220068059,-0.0497270303211955
"174",174,"00186D164F","151","WEIGHT_6",46.5,"LENGTH_6",164,"T6","2022-01-06","Day_in_Exp_T6",161,1.05419610858809,"15",2022-01-06,0.83111224639322,-0.0376692007731526
"177",177,"00186D1650","151","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"15",2021-07-29,0.874379971917597,-0.0137785717152037
"178",178,"00186D1650","151","WEIGHT_2",2.7,"LENGTH_2",65,"T2","2021-08-30","Day_in_Exp_T2",20,0.983158852981338,"15",2021-08-30,0.838544392183313,-0.0376881147268805
"179",179,"00186D1650","151","WEIGHT_3",7.7,"LENGTH_3",89,"T3","2021-09-29","Day_in_Exp_T3",62,1.09224660942538,"15",2021-09-29,0.907031886125257,0.027538043855678
"180",180,"00186D1650","151","WEIGHT_4",15.2,"LENGTH_4",111,"T4","2021-11-04","Day_in_Exp_T4",98,1.11141089957744,"15",2021-11-04,0.905778897405126,0.0215636360360019
"181",181,"00186D1650","151","WEIGHT_5",33.5,"LENGTH_5",145,"T5","2021-12-09","Day_in_Exp_T5",133,1.09885604165812,"15",2021-12-09,0.875436238426437,-0.011155692042945
"182",182,"00186D1650","151","WEIGHT_6",54.3,"LENGTH_6",172,"T6","2022-01-06","Day_in_Exp_T6",161,1.06712302061454,"15",2022-01-06,0.837904592716775,-0.0387465345297257
"184",184,"00186D1650","151","WEIGHT_8",148.9,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.07711226851852,"15",2022-03-30,0.822134772177227,-0.0420821952439497
"185",185,"00186D1651","202","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"20",2021-07-29,0.944784540176588,0.0383206551277577
"186",186,"00186D1651","202","WEIGHT_2",7,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.1398330958681,"20",2021-08-30,0.950256073799033,-0.0101240286226645
"187",187,"00186D1651","202","WEIGHT_3",14.9,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.11945905334335,"20",2021-09-29,0.913040063998011,0.00634814618584445
"188",188,"00186D1651","202","WEIGHT_4",28.2,"LENGTH_4",135,"T4","2021-11-04","Day_in_Exp_T4",98,1.14616674287456,"20",2021-11-04,0.918690938025516,-0.0493851748376738
"193",193,"00186D1652","201","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"20",2021-07-29,0.874379971917597,-0.0188172322340436
"194",194,"00186D1652","201","WEIGHT_2",2.8,"LENGTH_2",64,"T2","2021-08-30","Day_in_Exp_T2",20,1.068115234375,"20",2021-08-30,0.91220576292912,-0.0349076585953876
"201",201,"00186D1653","201","WEIGHT_1",3.1,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.12881201638598,"20",2021-07-29,0.962773191025285,0.0560737577857923
