"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"2587",2587,"00187294AF","151","WEIGHT_3",20.5,"LENGTH_3",125,"T3","2021-09-29","Day_in_Exp_T3",62,1.0496,"15",2021-09-29,0.846810961188096,-0.0468178439316287
"2593",2593,"00187294B0","202","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"20",2021-07-29,0.889559592706172,0.00512348941420915
"2594",2594,"00187294B0","202","WEIGHT_2",7,"LENGTH_2",88,"T2","2021-08-28","Day_in_Exp_T2",20,1.02718820435763,"20",2021-08-28,0.853825254857999,-0.0845270658068303
"2601",2601,"00187294B3","151","WEIGHT_1",3.5,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.02040816326531,"15",2021-07-29,0.864849604019889,-0.0352798365427366
"2602",2602,"00187294B3","151","WEIGHT_2",7.1,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,0.973936899862826,"15",2021-08-30,0.808016458654272,-0.0801869451857464
"2603",2603,"00187294B3","151","WEIGHT_3",19.4,"LENGTH_3",123,"T3","2021-09-29","Day_in_Exp_T3",62,1.04252480161129,"15",2021-09-29,0.842256674281235,-0.0492080649181696
"2604",2604,"00187294B3","151","WEIGHT_4",50.2,"LENGTH_4",163,"T4","2021-11-04","Day_in_Exp_T4",98,1.15915337469494,"15",2021-11-04,0.914334185306044,0.0181480270070957
"2605",2605,"00187294B3","151","WEIGHT_5",96.9,"LENGTH_5",198,"T5","2021-12-09","Day_in_Exp_T5",133,1.24832654676548,"15",2021-12-09,0.968526850304837,0.0699640229056308
"2606",2606,"00187294B3","151","WEIGHT_6",129,"LENGTH_6",222,"T6","2022-01-06","Day_in_Exp_T6",161,1.17904610234778,"15",2022-01-06,0.905921953364036,0.0172999291877103
"2609",2609,"00187294B4","201","WEIGHT_1",2.1,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.13395214721939,"20",2021-07-29,0.978014660605515,0.0422912814753297
"2610",2610,"00187294B4","201","WEIGHT_2",3.6,"LENGTH_2",67,"T2","2021-08-24","Day_in_Exp_T2",20,1.19695574256142,"20",2021-08-24,1.01826715253443,0.0286275560313755
"2617",2617,"00187294B5","151","WEIGHT_1",1.5,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,0.952598689224203,"15",2021-07-29,0.825384882108547,-0.0220528245631493
"2618",2618,"00187294B5","151","WEIGHT_2",2.9,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,0.92229798493792,"15",2021-08-30,0.783624493611397,-0.0518871763376924
"2619",2619,"00187294B5","151","WEIGHT_3",6.2,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.00956645634032,"15",2021-09-29,0.841655379650572,0.00288237434209737
"2620",2620,"00187294B5","151","WEIGHT_4",11.5,"LENGTH_4",106,"T4","2021-11-04","Day_in_Exp_T4",98,0.965562175487147,"15",2021-11-04,0.790003919538846,-0.0534905048691727
"2621",2621,"00187294B5","151","WEIGHT_5",23.4,"LENGTH_5",132,"T5","2021-12-09","Day_in_Exp_T5",133,1.01740545955422,"15",2021-12-09,0.817043688757411,-0.0288274047508659
"2622",2622,"00187294B5","151","WEIGHT_6",44.9,"LENGTH_6",164,"T6","2022-01-06","Day_in_Exp_T6",161,1.01792269409904,"15",2022-01-06,0.802514835764636,-0.0334154545207594
"2624",2624,"00187294B5","151","WEIGHT_8",135.2,"LENGTH_8",235,"T8","2022-03-30","Day_in_Exp_T8",244,1.04177301753947,"15",2022-03-30,0.796585389361566,-0.0269107410985067
"2625",2625,"00187294B6","152","WEIGHT_1",2.5,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.15740740740741,"15",2021-07-29,0.993901626321763,0.0705993154851545
"2626",2626,"00187294B6","152","WEIGHT_2",4.8,"LENGTH_2",78,"T2","2021-08-21","Day_in_Exp_T2",20,1.01148030142113,"15",2021-08-21,0.849433506563944,-0.0619427675500571
"2633",2633,"00187294B7","202","WEIGHT_1",1.1,"LENGTH_1",49,"T1","2021-07-29","Day_in_Exp_T1",0,0.934984572754549,"20",2021-07-29,0.816841470102611,-0.0378298386160242
"2634",2634,"00187294B7","202","WEIGHT_2",2.1,"LENGTH_2",59,"T2","2021-08-30","Day_in_Exp_T2",20,1.02249986610121,"20",2021-08-30,0.879307624225407,-0.0292799018660954
"2635",2635,"00187294B7","202","WEIGHT_3",1.9,"LENGTH_3",60,"T3","2021-09-29","Day_in_Exp_T3",62,0.87962962962963,"20",2021-09-29,0.75536523600454,-0.0995341054774318
"2641",2641,"00187294B8","202","WEIGHT_1",4.4,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.28279883381924,"20",2021-07-29,1.08723950219643,0.145243631571001
"2642",2642,"00187294B8","202","WEIGHT_2",8.7,"LENGTH_2",90,"T2","2021-08-30","Day_in_Exp_T2",20,1.19341563786008,"20",2021-08-30,0.990104674689038,-0.0058074133092596
"2643",2643,"00187294B8","202","WEIGHT_3",13,"LENGTH_3",104,"T3","2021-09-29","Day_in_Exp_T3",62,1.15569526627219,"20",2021-09-29,0.947099267167647,0.00487536377887998
"2644",2644,"00187294B8","202","WEIGHT_4",22.3,"LENGTH_4",124,"T4","2021-11-04","Day_in_Exp_T4",98,1.16960659259508,"20",2021-11-04,0.94427602751352,-0.0593320709262697
"2645",2645,"00187294B8","202","WEIGHT_5",37.3,"LENGTH_5",145,"T5","2021-12-09","Day_in_Exp_T5",133,1.22350239862233,"20",2021-12-09,0.974739453531525,-0.0132887926493067
"2646",2646,"00187294B8","202","WEIGHT_6",49.5,"LENGTH_6",159,"T6","2022-01-06","Day_in_Exp_T6",161,1.23144161511404,"20",2022-01-06,0.973408356852748,-0.0038531245802611
"2648",2648,"00187294B8","202","WEIGHT_8",119,"LENGTH_8",210,"T8","2022-03-30","Day_in_Exp_T8",244,1.28495842781557,"20",2022-03-30,0.991974337708702,0.0214658438432794
"2649",2649,"00187294B9","151","WEIGHT_1",3.3,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.04951150010177,"15",2021-07-29,0.891710630661244,-0.00891799887724676
"2650",2650,"00187294B9","151","WEIGHT_2",6.7,"LENGTH_2",86,"T2","2021-08-30","Day_in_Exp_T2",20,1.05336637025671,"15",2021-08-30,0.877297881478665,-0.0114047113372189
"2651",2651,"00187294B9","151","WEIGHT_3",13,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.12298887809092,"15",2021-09-29,0.91954791642845,0.02758398825318
"2652",2652,"00187294B9","151","WEIGHT_4",24.3,"LENGTH_4",131,"T4","2021-11-04","Day_in_Exp_T4",98,1.08091709810679,"15",2021-11-04,0.868609003109188,-0.0280763441656264
"2653",2653,"00187294B9","151","WEIGHT_5",43.7,"LENGTH_5",156,"T5","2021-12-09","Day_in_Exp_T5",133,1.15108565552353,"15",2021-12-09,0.911364381145964,0.0123023647708922
"2654",2654,"00187294B9","151","WEIGHT_6",59.6,"LENGTH_6",175,"T6","2022-01-06","Day_in_Exp_T6",161,1.11206997084548,"15",2022-01-06,0.871914458785578,-0.0172067543666127
"2656",2656,"00187294B9","151","WEIGHT_8",173.5,"LENGTH_8",250,"T8","2022-03-30","Day_in_Exp_T8",244,1.1104,"15",2022-03-30,0.844606758633556,-0.0320802946933108
"2657",2657,"00187294BA","151","WEIGHT_1",2.9,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.00870968639564,"15",2021-07-29,0.859221145982577,-0.0551678050366173
"2658",2658,"00187294BA","151","WEIGHT_2",6.4,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.04213311622227,"15",2021-08-30,0.868805553187687,-0.0336573611089007
"2659",2659,"00187294BA","151","WEIGHT_3",16.3,"LENGTH_3",114,"T3","2021-09-29","Day_in_Exp_T3",62,1.10020357140929,"15",2021-09-29,0.894614922386865,-0.0111093272691077
"2660",2660,"00187294BA","151","WEIGHT_4",38,"LENGTH_4",148,"T4","2021-11-04","Day_in_Exp_T4",98,1.17219118314809,"15",2021-11-04,0.932236718293456,0.021791049537938
"2661",2661,"00187294BA","151","WEIGHT_5",84.5,"LENGTH_5",192,"T5","2021-12-09","Day_in_Exp_T5",133,1.19385895905671,"15",2021-12-09,0.928693526734965,0.0158711888791891
"2662",2662,"00187294BA","151","WEIGHT_6",129.4,"LENGTH_6",219,"T6","2022-01-06","Day_in_Exp_T6",161,1.23197510458221,"15",2022-01-06,0.947685382753438,0.0448038481205432
"2665",2665,"00187294BB","152","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,0.0414400017005663
"2666",2666,"00187294BB","152","WEIGHT_2",3.5,"LENGTH_2",73,"T2","2021-08-24","Day_in_Exp_T2",20,0.899703611924415,"15",2021-08-24,0.759831022246059,-0.12133356359912
"2673",2673,"00187294BC","201","WEIGHT_1",3.1,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.03071188942789,"20",2021-07-29,0.876841159126868,-0.0481793964977203
"2674",2674,"00187294BC","201","WEIGHT_2",6.4,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.11929792037944,"20",2021-08-30,0.935026800178093,-0.0439099728193617
"2675",2675,"00187294BC","201","WEIGHT_3",14,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.14281702764719,"20",2021-09-29,0.9342843658893,0.00903577750137607
"2676",2676,"00187294BC","201","WEIGHT_4",35.5,"LENGTH_4",141,"T4","2021-11-04","Day_in_Exp_T4",98,1.26640033019159,"20",2021-11-04,1.01131719286653,0.0246844094275848
"2677",2677,"00187294BC","201","WEIGHT_5",72.6,"LENGTH_5",175,"T5","2021-12-09","Day_in_Exp_T5",133,1.35463556851312,"20",2021-12-09,1.06209714274888,0.0910442115688864
"2678",2678,"00187294BC","201","WEIGHT_6",88,"LENGTH_6",192,"T6","2022-01-06","Day_in_Exp_T6",161,1.24330873842593,"20",2022-01-06,0.967160122516887,0.00687395608472063
"2681",2681,"00187294BD","201","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"20",2021-07-29,0.926923589134672,-0.0094507461171448
"2682",2682,"00187294BD","201","WEIGHT_2",3.5,"LENGTH_2",67,"T2","2021-08-30","Day_in_Exp_T2",20,1.16370697193471,"20",2021-08-30,0.989981953852915,-0.000308598771767588
"2683",2683,"00187294BD","201","WEIGHT_3",5,"LENGTH_3",77,"T3","2021-09-29","Day_in_Exp_T3",62,1.09521108003145,"20",2021-09-29,0.92075930657109,-0.015843061444062
"2684",2684,"00187294BD","201","WEIGHT_4",7.6,"LENGTH_4",86,"T4","2021-11-04","Day_in_Exp_T4",98,1.19486334536582,"20",2021-11-04,0.995143865557888,-0.00284269750828703
"2685",2685,"00187294BD","201","WEIGHT_5",8.8,"LENGTH_5",92,"T5","2021-12-09","Day_in_Exp_T5",133,1.13010602449248,"20",2021-12-09,0.93583056345816,-0.0465761473490576
"2686",2686,"00187294BD","201","WEIGHT_6",12.1,"LENGTH_6",96,"T6","2022-01-06","Day_in_Exp_T6",161,1.36763961226852,"20",2022-01-06,1.12844037448323,0.156800428423834
"2688",2688,"00187294BD","201","WEIGHT_8",15.6,"LENGTH_8",110,"T8","2022-03-30","Day_in_Exp_T8",244,1.17205108940646,"20",2022-03-30,0.955934563648924,-0.00895239484288379
"2689",2689,"00187294BE","202","WEIGHT_1",2.4,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.11111111111111,"20",2021-07-29,0.954145561268892,0.0149832135746981
"2690",2690,"00187294BE","202","WEIGHT_2",4.1,"LENGTH_2",69,"T2","2021-08-24","Day_in_Exp_T2",20,1.24806321896813,"20",2021-08-24,1.05909376619276,0.0660152011257034
"2697",2697,"00187294BF","201","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"20",2021-07-29,0.934530624268352,-0.0171877140605636
"2698",2698,"00187294BF","201","WEIGHT_2",5.1,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.16179472226272,"20",2021-08-30,0.977822989970693,-0.0278115657310898
"2699",2699,"00187294BF","201","WEIGHT_3",10.3,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.201341303397,"20",2021-09-29,0.992110171903563,0.0401638008113113
"2700",2700,"00187294BF","201","WEIGHT_4",27.5,"LENGTH_4",125,"T4","2021-11-04","Day_in_Exp_T4",98,1.408,"20",2021-11-04,1.13596592354501,0.122635357401732
"2705",2705,"00187294C1","202","WEIGHT_1",3.6,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.04956268221574,"20",2021-07-29,0.889559592706172,-0.0068363574161755
"2706",2706,"00187294C1","202","WEIGHT_2",7.3,"LENGTH_2",85,"T2","2021-08-30","Day_in_Exp_T2",20,1.18868308569102,"20",2021-08-30,0.990981334104705,0.0406691666094917
"2707",2707,"00187294C1","202","WEIGHT_3",8.3,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,1.10142242734925,"20",2021-09-29,0.91292562407856,0.0163016411928769
"2708",2708,"00187294C1","202","WEIGHT_4",13.9,"LENGTH_4",112,"T4","2021-11-04","Day_in_Exp_T4",98,0.989374544460642,"20",2021-11-04,0.805707117798742,-0.152301060137965
"2709",2709,"00187294C1","202","WEIGHT_5",31.2,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.13702623906706,"20",2021-12-09,0.908551613429532,-0.0338767122482164
"2710",2710,"00187294C1","202","WEIGHT_6",39,"LENGTH_6",151,"T6","2022-01-06","Day_in_Exp_T6",161,1.13274920264622,"20",2022-01-06,0.899333403762713,-0.0323281571672119
"2712",2712,"00187294C1","202","WEIGHT_8",71.7,"LENGTH_8",175,"T8","2022-03-30","Day_in_Exp_T8",244,1.33784256559767,"20",2022-03-30,1.04893064924372,0.124022075881385
"2713",2713,"00187294C2","151","WEIGHT_1",3.5,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.1131182576837,"15",2021-07-29,0.945753699186168,0.0289546859638762
"2714",2714,"00187294C2","151","WEIGHT_2",4.7,"LENGTH_2",77,"T2","2021-08-18","Day_in_Exp_T2",20,1.02949841522957,"15",2021-08-18,0.865513748176825,-0.0393592283228599
"2721",2721,"00187294C3","202","WEIGHT_1",2.7,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.02996826171875,"20",2021-07-29,0.879626985681651,-0.0321508232323542
"2722",2722,"00187294C3","202","WEIGHT_2",6.7,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.26072320351648,"20",2021-08-30,1.0553548721851,0.0896608458982269
"2723",2723,"00187294C3","202","WEIGHT_3",6.3,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.02584978628129,"20",2021-09-29,0.855230466419129,-0.0567753752582122
"2729",2729,"00187294C4","152","WEIGHT_1",1.9,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,0.973799663782853,"15",2021-07-29,0.838645152074227,-0.055648101847005
"2730",2730,"00187294C4","152","WEIGHT_2",3.7,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.07871720116618,"15",2021-08-30,0.914269581392454,0.03190236419383
"2731",2731,"00187294C4","152","WEIGHT_3",8.3,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,1.10142242734925,"15",2021-09-29,0.91292562407856,0.0272970715205503
"2732",2732,"00187294C4","152","WEIGHT_4",14,"LENGTH_4",108,"T4","2021-11-04","Day_in_Exp_T4",98,1.11136513742824,"15",2021-11-04,0.907853453538077,0.0175034818805222
"2733",2733,"00187294C4","152","WEIGHT_5",24.4,"LENGTH_5",130,"T5","2021-12-09","Day_in_Exp_T5",133,1.1106053709604,"15",2021-12-09,0.893047552287308,0.000320911529495316
"2734",2734,"00187294C4","152","WEIGHT_6",32,"LENGTH_6",148,"T6","2022-01-06","Day_in_Exp_T6",161,0.987108364756283,"15",2022-01-06,0.785041446983963,-0.0977443905509686
"2737",2737,"00187294C6","201","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"20",2021-07-29,0.874633431163152,-0.0275083725850472
"2745",2745,"00187294C7","151","WEIGHT_1",2.9,"LENGTH_1",64,"T1","2021-07-29","Day_in_Exp_T1",0,1.10626220703125,"15",2021-07-29,0.944784540176588,-0.0164200818155046
"2746",2746,"00187294C7","151","WEIGHT_2",6.8,"LENGTH_2",84,"T2","2021-08-30","Day_in_Exp_T2",20,1.14728431054962,"15",2021-08-30,0.957430625464862,0.00815204019537641
"2747",2747,"00187294C7","151","WEIGHT_3",14.6,"LENGTH_3",107,"T3","2021-09-29","Day_in_Exp_T3",62,1.19179490026064,"15",2021-09-29,0.974325124427413,0.0217852037985419
"2748",2748,"00187294C7","151","WEIGHT_4",32.9,"LENGTH_4",139,"T4","2021-11-04","Day_in_Exp_T4",98,1.22504346297818,"15",2021-11-04,0.979479248077761,0.022217908349345
"2749",2749,"00187294C7","151","WEIGHT_5",64.8,"LENGTH_5",172,"T5","2021-12-09","Day_in_Exp_T5",133,1.27347277598199,"15",2021-12-09,0.999930342689632,0.0402923338609582
"2750",2750,"00187294C7","151","WEIGHT_6",97.4,"LENGTH_6",200,"T6","2022-01-06","Day_in_Exp_T6",161,1.2175,"15",2022-01-06,0.943803145136034,-0.0058940604697586
"2752",2752,"00187294C7","151","WEIGHT_8",228.8,"LENGTH_8",260,"T8","2022-03-30","Day_in_Exp_T8",244,1.30177514792899,"15",2022-03-30,0.986877486602161,0.0496144408216919
"2753",2753,"00187294C8","152","WEIGHT_1",4.2,"LENGTH_1",72,"T1","2021-07-29","Day_in_Exp_T1",0,1.12525720164609,"15",2021-07-29,0.95143371914919,0.0193896505070585
"2754",2754,"00187294C8","152","WEIGHT_2",7.4,"LENGTH_2",87,"T2","2021-08-21","Day_in_Exp_T2",20,1.1237610155155,"15",2021-08-21,0.935006920642139,0.0148888887226151
"2761",2761,"00187294CC","202","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"20",2021-07-29,0.874633431163152,-0.0489227970403244
"2762",2762,"00187294CC","202","WEIGHT_2",7,"LENGTH_2",82,"T2","2021-08-30","Day_in_Exp_T2",20,1.26956950711684,"20",2021-08-30,1.06165230110142,0.0841798555250821
"2769",2769,"00187294CD","201","WEIGHT_1",3.1,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.03071188942789,"20",2021-07-29,0.876841159126868,-0.0471911014347717
"2770",2770,"00187294CD","201","WEIGHT_2",6,"LENGTH_2",78,"T2","2021-08-25","Day_in_Exp_T2",20,1.26435037677641,"20",2021-08-25,1.06179188320493,0.0838434052704244
"2777",2777,"00187294CE","152","WEIGHT_1",3.2,"LENGTH_1",66,"T1","2021-07-29","Day_in_Exp_T1",0,1.11305896429863,"15",2021-07-29,0.948106092118706,-0.0255322315178695
"2778",2778,"00187294CE","152","WEIGHT_2",9.4,"LENGTH_2",93,"T2","2021-08-30","Day_in_Exp_T2",20,1.16863531988905,"15",2021-08-30,0.966847452603461,0.00513516568949257
"2779",2779,"00187294CE","152","WEIGHT_3",27,"LENGTH_3",131,"T3","2021-09-29","Day_in_Exp_T3",62,1.20101899789644,"15",2021-09-29,0.965121114565764,0.000147492292409623
"2780",2780,"00187294CE","152","WEIGHT_4",65.8,"LENGTH_4",174,"T4","2021-11-04","Day_in_Exp_T4",98,1.2490451827858,"15",2021-11-04,0.979786525791766,0.0100914844188673
"2781",2781,"00187294CE","152","WEIGHT_5",132.8,"LENGTH_5",215,"T5","2021-12-09","Day_in_Exp_T5",133,1.33623454538594,"15",2021-12-09,1.02949780784424,0.0574260973710828
"2782",2782,"00187294CE","152","WEIGHT_6",191.5,"LENGTH_6",239,"T6","2022-01-06","Day_in_Exp_T6",161,1.40273319816796,"15",2022-01-06,1.07105371983811,0.108922812587834
"2785",2785,"00187294D0","202","WEIGHT_1",2.9,"LENGTH_1",65,"T1","2021-07-29","Day_in_Exp_T1",0,1.05598543468366,"20",2021-07-29,0.900658791604299,-0.003398313660119
"2786",2786,"00187294D0","202","WEIGHT_2",4.9,"LENGTH_2",76,"T2","2021-08-28","Day_in_Exp_T2",20,1.11623414491908,"20",2021-08-28,0.939476990363999,-0.018496332273286
"2793",2793,"00187294D1","151","WEIGHT_1",2.7,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.18952687669893,"15",2021-07-29,1.02004944326476,0.0526243138469019
"2794",2794,"00187294D1","151","WEIGHT_2",5,"LENGTH_2",74,"T2","2021-08-24","Day_in_Exp_T2",20,1.23388545594535,"15",2021-08-24,1.04085479910232,0.0853557064070725
"2801",2801,"00187294D3","152","WEIGHT_1",3.6,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.09586038738665,"15",2021-07-29,0.929935989827793,0.00763656014570768
"2802",2802,"00187294D3","152","WEIGHT_2",9.3,"LENGTH_2",94,"T2","2021-08-30","Day_in_Exp_T2",20,1.11969409475742,"15",2021-08-30,0.925515124366517,0.0151417314070388
"2803",2803,"00187294D3","152","WEIGHT_3",22.8,"LENGTH_3",127,"T3","2021-09-29","Day_in_Exp_T3",62,1.11307309228792,"15",2021-09-29,0.896809846321278,-0.016824881997586
"2804",2804,"00187294D3","152","WEIGHT_4",50.6,"LENGTH_4",165,"T4","2021-11-04","Day_in_Exp_T4",98,1.12641567187022,"15",2021-11-04,0.887590303119317,-0.0307658442990912
"2805",2805,"00187294D3","152","WEIGHT_5",99.2,"LENGTH_5",201,"T5","2021-12-09","Day_in_Exp_T5",133,1.22158446154416,"15",2021-12-09,0.946568036047438,0.0258352195287713
"2806",2806,"00187294D3","152","WEIGHT_6",135.2,"LENGTH_6",226,"T6","2022-01-06","Day_in_Exp_T6",161,1.1712547742493,"15",2022-01-06,0.898570500411913,-0.0122215128838719
"2808",2808,"00187294D3","152","WEIGHT_8",297.2,"LENGTH_8",290,"T8","2022-03-30","Day_in_Exp_T8",244,1.21858214768953,"15",2022-03-30,0.9152736964086,0.0169158429381384
"2809",2809,"00187294D5","151","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"15",2021-07-29,0.923417645305036,-0.00330220173753804
"2810",2810,"00187294D5","151","WEIGHT_2",4.5,"LENGTH_2",74,"T2","2021-08-18","Day_in_Exp_T2",20,1.11049691035082,"15",2021-08-18,0.936769319192088,0.0219755088721212
"2817",2817,"00187294D6","151","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,-7.63279692725938e-05
"2818",2818,"00187294D6","151","WEIGHT_2",4.9,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.11623414491908,"15",2021-08-30,0.939476990363999,0.0167960748489812
"2819",2819,"00187294D6","151","WEIGHT_3",14,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.20937263794407,"15",2021-09-29,0.99028237153833,0.0643401206639269
"2820",2820,"00187294D6","151","WEIGHT_4",27.7,"LENGTH_4",133,"T4","2021-11-04","Day_in_Exp_T4",98,1.17740220867053,"15",2021-11-04,0.944925255338838,0.0142615853648906
"2821",2821,"00187294D6","151","WEIGHT_5",45.5,"LENGTH_5",156,"T5","2021-12-09","Day_in_Exp_T5",133,1.19849879465264,"15",2021-12-09,0.948903417440306,0.0158630783661001
"2822",2822,"00187294D6","151","WEIGHT_6",67.3,"LENGTH_6",180,"T6","2022-01-06","Day_in_Exp_T6",161,1.1539780521262,"15",2022-01-06,0.902608431332794,-0.0204911045185304
"2824",2824,"00187294D6","151","WEIGHT_8",127.9,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.12285322359396,"15",2022-03-30,0.861762270755919,-0.0489031052700818
"2825",2825,"00187294D7","151","WEIGHT_1",4.1,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,1.14553618078237,"15",2021-07-29,0.969732276598416,0.0338164098169705
"2826",2826,"00187294D7","151","WEIGHT_2",5.5,"LENGTH_2",79,"T2","2021-08-18","Day_in_Exp_T2",20,1.11553041442969,"15",2021-08-18,0.935800155157906,0.0118103250990669
"2833",2833,"00187294D8","152","WEIGHT_1",1.5,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.00754313963876,"15",2021-07-29,0.874379971917597,-0.0206653068764009
"2834",2834,"00187294D8","152","WEIGHT_2",3.3,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,1.04951150010177,"15",2021-08-30,0.891710630661244,0.00859138858985342
"2835",2835,"00187294D8","152","WEIGHT_3",9,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.08357493041041,"15",2021-09-29,0.895659797774049,0.00927922034327233
"2836",2836,"00187294D8","152","WEIGHT_4",18.1,"LENGTH_4",121,"T4","2021-11-04","Day_in_Exp_T4",98,1.02169781339734,"15",2021-11-04,0.826581550398891,-0.06452044613143
"2837",2837,"00187294D8","152","WEIGHT_5",39,"LENGTH_5",150,"T5","2021-12-09","Day_in_Exp_T5",133,1.15555555555556,"15",2021-12-09,0.917958553308247,0.0244798876776685
"2838",2838,"00187294D8","152","WEIGHT_6",68,"LENGTH_6",184,"T6","2022-01-06","Day_in_Exp_T6",161,1.09157968274842,"15",2022-01-06,0.852208631758869,-0.031329230648829
"2841",2841,"00187294DA","152","WEIGHT_1",3.2,"LENGTH_1",68,"T1","2021-07-29","Day_in_Exp_T1",0,1.01770812131081,"15",2021-07-29,0.864689096398782,-0.0116062656440011
"2842",2842,"00187294DA","152","WEIGHT_2",6,"LENGTH_2",83,"T2","2021-08-30","Day_in_Exp_T2",20,1.04934180035573,"15",2021-08-30,0.876587625166962,0.0122182998467859
"2843",2843,"00187294DA","152","WEIGHT_3",12.2,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.0538818702084,"15",2021-09-29,0.862960352340545,-0.00467030833901694
"2844",2844,"00187294DA","152","WEIGHT_4",23.5,"LENGTH_4",131,"T4","2021-11-04","Day_in_Exp_T4",98,1.04533135002097,"15",2021-11-04,0.840012821936869,-0.0323392578422378
"2845",2845,"00187294DA","152","WEIGHT_5",37.4,"LENGTH_5",151,"T5","2021-12-09","Day_in_Exp_T5",133,1.08627744048637,"15",2021-12-09,0.862437674377576,-0.0122910745017883
"2846",2846,"00187294DA","152","WEIGHT_6",48.3,"LENGTH_6",167,"T6","2022-01-06","Day_in_Exp_T6",161,1.03704527550729,"15",2022-01-06,0.816331992854397,-0.0484559528020861
"2848",2848,"00187294DA","152","WEIGHT_8",130.3,"LENGTH_8",230,"T8","2022-03-30","Day_in_Exp_T8",244,1.0709295635736,"15",2022-03-30,0.820378068344186,-0.0319757174869735
"2849",2849,"00187294DB","152","WEIGHT_1",2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.02505227766616,"15",2021-07-29,0.882784370604449,-0.00804435360265365
"2850",2850,"00187294DB","152","WEIGHT_2",3.4,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,0.991253644314869,"15",2021-08-30,0.840139615333607,-0.0387630721508889
