"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME","condition4","Days_in_Exp"
"1691","00187293A8",201,"WEIGHT_3",15.3,"LENGTH_3",108,"T3",2021-09-29,"Day_in_Exp_T3",62
"1692","00187293A8",201,"WEIGHT_4",27.9,"LENGTH_4",130,"T4",2021-11-04,"Day_in_Exp_T4",98
"1693","00187293A8",201,"WEIGHT_5",43.2,"LENGTH_5",156,"T5",2021-12-09,"Day_in_Exp_T5",133
"1694","00187293A8",201,"WEIGHT_6",40.2,"LENGTH_6",158,"T6",2022-01-06,"Day_in_Exp_T6",161
"1695","00187293A8",201,"WEIGHT_7",62.1,"LENGTH_7",174,"T7",2022-02-04,"Day_in_Exp_T7",190
"1696","00187293A8",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1697","00187293AA",152,"WEIGHT_1",2.5,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"1698","00187293AA",152,"WEIGHT_2",3.9,"LENGTH_2",74,"T2",2021-08-30,"Day_in_Exp_T2",20
"1699","00187293AA",152,"WEIGHT_3",7.5,"LENGTH_3",91,"T3",2021-09-29,"Day_in_Exp_T3",62
"1700","00187293AA",152,"WEIGHT_4",15.3,"LENGTH_4",115,"T4",2021-11-04,"Day_in_Exp_T4",98
"1701","00187293AA",152,"WEIGHT_5",29.6,"LENGTH_5",143,"T5",2021-12-09,"Day_in_Exp_T5",133
"1702","00187293AA",152,"WEIGHT_6",45.8,"LENGTH_6",159,"T6",2022-01-06,"Day_in_Exp_T6",161
"1703","00187293AA",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1704","00187293AA",152,"WEIGHT_8",135.5,"LENGTH_8",235,"T8",2022-03-30,"Day_in_Exp_T8",244
"1705","00187293AC",151,"WEIGHT_1",3.6,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1706","00187293AC",151,"WEIGHT_2",10.8,"LENGTH_2",100,"T2",2021-08-30,"Day_in_Exp_T2",20
"1707","00187293AC",151,"WEIGHT_3",28.8,"LENGTH_3",140,"T3",2021-09-29,"Day_in_Exp_T3",62
"1708","00187293AC",151,"WEIGHT_4",64.4,"LENGTH_4",180,"T4",2021-11-04,"Day_in_Exp_T4",98
"1709","00187293AC",151,"WEIGHT_5",122.9,"LENGTH_5",225,"T5",2021-12-09,"Day_in_Exp_T5",133
"1710","00187293AC",151,"WEIGHT_6",183.2,"LENGTH_6",260,"T6",2022-01-06,"Day_in_Exp_T6",161
"1711","00187293AC",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1712","00187293AC",151,"WEIGHT_8",327.8,"LENGTH_8",305,"T8",2022-03-30,"Day_in_Exp_T8",244
"1713","00187293AD",202,"WEIGHT_1",2.7,"LENGTH_1",64,"T1",2021-07-29,"Day_in_Exp_T1",0
"1714","00187293AD",202,"WEIGHT_2",5.6,"LENGTH_2",80,"T2",2021-08-30,"Day_in_Exp_T2",20
"1715","00187293AD",202,"WEIGHT_3",11,"LENGTH_3",98,"T3",2021-09-29,"Day_in_Exp_T3",62
"1716","00187293AD",202,"WEIGHT_4",22.3,"LENGTH_4",125,"T4",2021-11-04,"Day_in_Exp_T4",98
"1717","00187293AD",202,"WEIGHT_5",39.7,"LENGTH_5",152,"T5",2021-12-09,"Day_in_Exp_T5",133
"1718","00187293AD",202,"WEIGHT_6",54.7,"LENGTH_6",171,"T6",2022-01-06,"Day_in_Exp_T6",161
"1719","00187293AD",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1720","00187293AD",202,"WEIGHT_8",133.5,"LENGTH_8",225,"T8",2022-03-30,"Day_in_Exp_T8",244
"1721","00187293AE",151,"WEIGHT_1",2.3,"LENGTH_1",61,"T1",2021-07-29,"Day_in_Exp_T1",0
"1722","00187293AE",151,"WEIGHT_2",5.7,"LENGTH_2",81,"T2",2021-08-30,"Day_in_Exp_T2",20
"1723","00187293AE",151,"WEIGHT_3",14.8,"LENGTH_3",111,"T3",2021-09-29,"Day_in_Exp_T3",62
"1724","00187293AE",151,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1725","00187293AE",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1726","00187293AE",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1727","00187293AE",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1728","00187293AE",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1729","00187293B0",202,"WEIGHT_1",3.6,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1730","00187293B0",202,"WEIGHT_2",5.3,"LENGTH_2",77,"T2",2021-08-24,"Day_in_Exp_T2",20
"1731","00187293B0",202,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"1732","00187293B0",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1733","00187293B0",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1734","00187293B0",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1735","00187293B0",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1736","00187293B0",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1737","00187293B2",152,"WEIGHT_1",2.1,"LENGTH_1",59,"T1",2021-07-29,"Day_in_Exp_T1",0
"1738","00187293B2",152,"WEIGHT_2",4.9,"LENGTH_2",78,"T2",2021-08-30,"Day_in_Exp_T2",20
"1739","00187293B2",152,"WEIGHT_3",11.6,"LENGTH_3",102,"T3",2021-09-29,"Day_in_Exp_T3",62
"1740","00187293B2",152,"WEIGHT_4",28.5,"LENGTH_4",136,"T4",2021-11-04,"Day_in_Exp_T4",98
"1741","00187293B2",152,"WEIGHT_5",49.8,"LENGTH_5",160,"T5",2021-12-09,"Day_in_Exp_T5",133
"1742","00187293B2",152,"WEIGHT_6",75.6,"LENGTH_6",183,"T6",2022-01-06,"Day_in_Exp_T6",161
"1743","00187293B2",152,"WEIGHT_7",104.3,"LENGTH_7",204,"T7",2022-02-04,"Day_in_Exp_T7",190
"1744","00187293B2",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1745","00187293B5",151,"WEIGHT_1",1.5,"LENGTH_1",52,"T1",2021-07-29,"Day_in_Exp_T1",0
"1746","00187293B5",151,"WEIGHT_2",3.6,"LENGTH_2",66,"T2",2021-08-24,"Day_in_Exp_T2",20
"1747","00187293B5",151,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"1748","00187293B5",151,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1749","00187293B5",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1750","00187293B5",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1751","00187293B5",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1752","00187293B5",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1753","00187293B6",201,"WEIGHT_1",3.6,"LENGTH_1",69,"T1",2021-07-29,"Day_in_Exp_T1",0
"1754","00187293B6",201,"WEIGHT_2",8.1,"LENGTH_2",86,"T2",2021-08-30,"Day_in_Exp_T2",20
"1755","00187293B6",201,"WEIGHT_3",12.7,"LENGTH_3",102,"T3",2021-09-29,"Day_in_Exp_T3",62
"1756","00187293B6",201,"WEIGHT_4",26.5,"LENGTH_4",129,"T4",2021-11-04,"Day_in_Exp_T4",98
"1757","00187293B6",201,"WEIGHT_5",51.5,"LENGTH_5",158,"T5",2021-12-09,"Day_in_Exp_T5",133
"1758","00187293B6",201,"WEIGHT_6",67.2,"LENGTH_6",166,"T6",2022-01-06,"Day_in_Exp_T6",161
"1759","00187293B6",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1760","00187293B6",201,"WEIGHT_8",112,"LENGTH_8",195,"T8",2022-03-30,"Day_in_Exp_T8",244
"1761","00187293B7",202,"WEIGHT_1",2.7,"LENGTH_1",62,"T1",2021-07-29,"Day_in_Exp_T1",0
"1762","00187293B7",202,"WEIGHT_2",5.1,"LENGTH_2",75,"T2",2021-08-30,"Day_in_Exp_T2",20
"1763","00187293B7",202,"WEIGHT_3",4.3,"LENGTH_3",75,"T3",2021-09-29,"Day_in_Exp_T3",62
"1764","00187293B7",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1765","00187293B7",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1766","00187293B7",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1767","00187293B7",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1768","00187293B7",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1769","00187293BA",152,"WEIGHT_1",3.3,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1770","00187293BA",152,"WEIGHT_2",7.9,"LENGTH_2",89,"T2",2021-08-30,"Day_in_Exp_T2",20
"1771","00187293BA",152,"WEIGHT_3",18.7,"LENGTH_3",117,"T3",2021-09-29,"Day_in_Exp_T3",62
"1772","00187293BA",152,"WEIGHT_4",29.2,"LENGTH_4",134,"T4",2021-11-04,"Day_in_Exp_T4",98
"1773","00187293BA",152,"WEIGHT_5",45.6,"LENGTH_5",152,"T5",2021-12-09,"Day_in_Exp_T5",133
"1774","00187293BA",152,"WEIGHT_6",63.9,"LENGTH_6",172,"T6",2022-01-06,"Day_in_Exp_T6",161
"1775","00187293BA",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1776","00187293BA",152,"WEIGHT_8",159.6,"LENGTH_8",229,"T8",2022-03-30,"Day_in_Exp_T8",244
"1777","00187293BC",152,"WEIGHT_1",3.1,"LENGTH_1",67,"T1",2021-07-29,"Day_in_Exp_T1",0
"1778","00187293BC",152,"WEIGHT_2",9.6,"LENGTH_2",95,"T2",2021-08-30,"Day_in_Exp_T2",20
"1779","00187293BC",152,"WEIGHT_3",25.2,"LENGTH_3",130,"T3",2021-09-29,"Day_in_Exp_T3",62
"1780","00187293BC",152,"WEIGHT_4",51.7,"LENGTH_4",164,"T4",2021-11-04,"Day_in_Exp_T4",98
"1781","00187293BC",152,"WEIGHT_5",88.1,"LENGTH_5",195,"T5",2021-12-09,"Day_in_Exp_T5",133
"1782","00187293BC",152,"WEIGHT_6",139.1,"LENGTH_6",224,"T6",2022-01-06,"Day_in_Exp_T6",161
"1783","00187293BC",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1784","00187293BC",152,"WEIGHT_8",377,"LENGTH_8",315,"T8",2022-03-30,"Day_in_Exp_T8",244
"1785","00187293BD",151,"WEIGHT_1",3.7,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1786","00187293BD",151,"WEIGHT_2",NA,"LENGTH_2",NA,"T2",NA,"Day_in_Exp_T2",NA
"1787","00187293BD",151,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"1788","00187293BD",151,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1789","00187293BD",151,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1790","00187293BD",151,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1791","00187293BD",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1792","00187293BD",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1793","00187293BE",201,"WEIGHT_1",3.8,"LENGTH_1",71,"T1",2021-07-29,"Day_in_Exp_T1",0
"1794","00187293BE",201,"WEIGHT_2",7.9,"LENGTH_2",87,"T2",2021-08-30,"Day_in_Exp_T2",20
"1795","00187293BE",201,"WEIGHT_3",14.4,"LENGTH_3",107,"T3",2021-09-29,"Day_in_Exp_T3",62
"1796","00187293BE",201,"WEIGHT_4",30.5,"LENGTH_4",132,"T4",2021-11-04,"Day_in_Exp_T4",98
"1797","00187293BE",201,"WEIGHT_5",50.3,"LENGTH_5",155,"T5",2021-12-09,"Day_in_Exp_T5",133
"1798","00187293BE",201,"WEIGHT_6",67.2,"LENGTH_6",175,"T6",2022-01-06,"Day_in_Exp_T6",161
"1799","00187293BE",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1800","00187293BE",201,"WEIGHT_8",133.6,"LENGTH_8",218,"T8",2022-03-30,"Day_in_Exp_T8",244
"1801","00187293C0",202,"WEIGHT_1",3.8,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1802","00187293C0",202,"WEIGHT_2",7.6,"LENGTH_2",86,"T2",2021-08-30,"Day_in_Exp_T2",20
"1803","00187293C0",202,"WEIGHT_3",9.1,"LENGTH_3",95,"T3",2021-09-29,"Day_in_Exp_T3",62
"1804","00187293C0",202,"WEIGHT_4",17.8,"LENGTH_4",116,"T4",2021-11-04,"Day_in_Exp_T4",98
"1805","00187293C0",202,"WEIGHT_5",31.3,"LENGTH_5",141,"T5",2021-12-09,"Day_in_Exp_T5",133
"1806","00187293C0",202,"WEIGHT_6",45.4,"LENGTH_6",158,"T6",2022-01-06,"Day_in_Exp_T6",161
"1807","00187293C0",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1808","00187293C0",202,"WEIGHT_8",95.8,"LENGTH_8",200,"T8",2022-03-30,"Day_in_Exp_T8",244
"1809","00187293C1",202,"WEIGHT_1",2.3,"LENGTH_1",62,"T1",2021-07-29,"Day_in_Exp_T1",0
"1810","00187293C1",202,"WEIGHT_2",4.9,"LENGTH_2",75,"T2",2021-08-30,"Day_in_Exp_T2",20
"1811","00187293C1",202,"WEIGHT_3",5.6,"LENGTH_3",80,"T3",2021-09-29,"Day_in_Exp_T3",62
"1812","00187293C1",202,"WEIGHT_4",4.5,"LENGTH_4",78,"T4",2021-11-04,"Day_in_Exp_T4",98
"1813","00187293C1",202,"WEIGHT_5",5.7,"LENGTH_5",85,"T5",2021-12-09,"Day_in_Exp_T5",133
"1814","00187293C1",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1815","00187293C1",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1816","00187293C1",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1817","00187293C2",201,"WEIGHT_1",3.6,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"1818","00187293C2",201,"WEIGHT_2",10,"LENGTH_2",93,"T2",2021-08-30,"Day_in_Exp_T2",20
"1819","00187293C2",201,"WEIGHT_3",20,"LENGTH_3",118,"T3",2021-09-29,"Day_in_Exp_T3",62
"1820","00187293C2",201,"WEIGHT_4",45.3,"LENGTH_4",145,"T4",2021-11-04,"Day_in_Exp_T4",98
"1821","00187293C2",201,"WEIGHT_5",84.5,"LENGTH_5",180,"T5",2021-12-09,"Day_in_Exp_T5",133
"1822","00187293C2",201,"WEIGHT_6",115.5,"LENGTH_6",190,"T6",2022-01-06,"Day_in_Exp_T6",161
"1823","00187293C2",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1824","00187293C2",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1825","00187293C3",202,"WEIGHT_1",3,"LENGTH_1",67,"T1",2021-07-29,"Day_in_Exp_T1",0
"1826","00187293C3",202,"WEIGHT_2",5.9,"LENGTH_2",NA,"T2",2021-08-28,"Day_in_Exp_T2",20
"1827","00187293C3",202,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"1828","00187293C3",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1829","00187293C3",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1830","00187293C3",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1831","00187293C3",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1832","00187293C3",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1833","00187293C5",151,"WEIGHT_1",3.4,"LENGTH_1",71,"T1",2021-07-29,"Day_in_Exp_T1",0
"1834","00187293C5",151,"WEIGHT_2",6.4,"LENGTH_2",87,"T2",2021-08-30,"Day_in_Exp_T2",20
"1835","00187293C5",151,"WEIGHT_3",15.9,"LENGTH_3",115,"T3",2021-09-29,"Day_in_Exp_T3",62
"1836","00187293C5",151,"WEIGHT_4",39.7,"LENGTH_4",151,"T4",2021-11-04,"Day_in_Exp_T4",98
"1837","00187293C5",151,"WEIGHT_5",79.9,"LENGTH_5",190,"T5",2021-12-09,"Day_in_Exp_T5",133
"1838","00187293C5",151,"WEIGHT_6",119.5,"LENGTH_6",220,"T6",2022-01-06,"Day_in_Exp_T6",161
"1839","00187293C5",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1840","00187293C5",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1841","00187293C7",152,"WEIGHT_1",3.7,"LENGTH_1",69,"T1",2021-07-29,"Day_in_Exp_T1",0
"1842","00187293C7",152,"WEIGHT_2",10.4,"LENGTH_2",96,"T2",2021-08-30,"Day_in_Exp_T2",20
"1843","00187293C7",152,"WEIGHT_3",23.6,"LENGTH_3",129,"T3",2021-09-29,"Day_in_Exp_T3",62
"1844","00187293C7",152,"WEIGHT_4",50.4,"LENGTH_4",165,"T4",2021-11-04,"Day_in_Exp_T4",98
"1845","00187293C7",152,"WEIGHT_5",84.9,"LENGTH_5",195,"T5",2021-12-09,"Day_in_Exp_T5",133
"1846","00187293C7",152,"WEIGHT_6",117,"LENGTH_6",220,"T6",2022-01-06,"Day_in_Exp_T6",161
"1847","00187293C7",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1848","00187293C7",152,"WEIGHT_8",216.6,"LENGTH_8",286,"T8",2022-03-30,"Day_in_Exp_T8",244
"1849","00187293CA",151,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29,"Day_in_Exp_T1",0
"1850","00187293CA",151,"WEIGHT_2",5.9,"LENGTH_2",81,"T2",2021-08-30,"Day_in_Exp_T2",20
"1851","00187293CA",151,"WEIGHT_3",13,"LENGTH_3",105,"T3",2021-09-29,"Day_in_Exp_T3",62
"1852","00187293CA",151,"WEIGHT_4",25.5,"LENGTH_4",130,"T4",2021-11-04,"Day_in_Exp_T4",98
"1853","00187293CA",151,"WEIGHT_5",48.5,"LENGTH_5",161,"T5",2021-12-09,"Day_in_Exp_T5",133
"1854","00187293CA",151,"WEIGHT_6",81.8,"LENGTH_6",192,"T6",2022-01-06,"Day_in_Exp_T6",161
"1855","00187293CA",151,"WEIGHT_7",119.6,"LENGTH_7",216,"T7",2022-02-04,"Day_in_Exp_T7",190
"1856","00187293CA",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1857","00187293CC",151,"WEIGHT_1",3.3,"LENGTH_1",66,"T1",2021-07-29,"Day_in_Exp_T1",0
"1858","00187293CC",151,"WEIGHT_2",7.3,"LENGTH_2",89,"T2",2021-08-30,"Day_in_Exp_T2",20
"1859","00187293CC",151,"WEIGHT_3",15.6,"LENGTH_3",114,"T3",2021-09-29,"Day_in_Exp_T3",62
"1860","00187293CC",151,"WEIGHT_4",28.9,"LENGTH_4",138,"T4",2021-11-04,"Day_in_Exp_T4",98
"1861","00187293CC",151,"WEIGHT_5",47.9,"LENGTH_5",163,"T5",2021-12-09,"Day_in_Exp_T5",133
"1862","00187293CC",151,"WEIGHT_6",70.2,"LENGTH_6",187,"T6",2022-01-06,"Day_in_Exp_T6",161
"1863","00187293CC",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1864","00187293CC",151,"WEIGHT_8",164.2,"LENGTH_8",245,"T8",2022-03-30,"Day_in_Exp_T8",244
"1865","00187293CE",152,"WEIGHT_1",2.4,"LENGTH_1",61,"T1",2021-07-29,"Day_in_Exp_T1",0
"1866","00187293CE",152,"WEIGHT_2",6.1,"LENGTH_2",82,"T2",2021-08-30,"Day_in_Exp_T2",20
"1867","00187293CE",152,"WEIGHT_3",15.5,"LENGTH_3",110,"T3",2021-09-29,"Day_in_Exp_T3",62
"1868","00187293CE",152,"WEIGHT_4",37.1,"LENGTH_4",146,"T4",2021-11-04,"Day_in_Exp_T4",98
"1869","00187293CE",152,"WEIGHT_5",64.8,"LENGTH_5",175,"T5",2021-12-09,"Day_in_Exp_T5",133
"1870","00187293CE",152,"WEIGHT_6",86.2,"LENGTH_6",193,"T6",2022-01-06,"Day_in_Exp_T6",161
"1871","00187293CE",152,"WEIGHT_7",122.2,"LENGTH_7",216,"T7",2022-02-09,"Day_in_Exp_T7",190
"1872","00187293CE",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1873","00187293CF",151,"WEIGHT_1",4.3,"LENGTH_1",74,"T1",2021-07-29,"Day_in_Exp_T1",0
"1874","00187293CF",151,"WEIGHT_2",9.7,"LENGTH_2",96,"T2",2021-08-30,"Day_in_Exp_T2",20
"1875","00187293CF",151,"WEIGHT_3",21.4,"LENGTH_3",125,"T3",2021-09-29,"Day_in_Exp_T3",62
"1876","00187293CF",151,"WEIGHT_4",38.5,"LENGTH_4",150,"T4",2021-11-04,"Day_in_Exp_T4",98
"1877","00187293CF",151,"WEIGHT_5",67.7,"LENGTH_5",180,"T5",2021-12-09,"Day_in_Exp_T5",133
"1878","00187293CF",151,"WEIGHT_6",93.5,"LENGTH_6",204,"T6",2022-01-06,"Day_in_Exp_T6",161
"1879","00187293CF",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1880","00187293CF",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1881","00187293D0",202,"WEIGHT_1",4,"LENGTH_1",74,"T1",2021-07-29,"Day_in_Exp_T1",0
"1882","00187293D0",202,"WEIGHT_2",7,"LENGTH_2",85,"T2",2021-08-30,"Day_in_Exp_T2",20
"1883","00187293D0",202,"WEIGHT_3",5.7,"LENGTH_3",84,"T3",2021-09-29,"Day_in_Exp_T3",62
"1884","00187293D0",202,"WEIGHT_4",6,"LENGTH_4",85,"T4",2021-11-04,"Day_in_Exp_T4",98
"1885","00187293D0",202,"WEIGHT_5",12.5,"LENGTH_5",105,"T5",2021-12-09,"Day_in_Exp_T5",133
"1886","00187293D0",202,"WEIGHT_6",19.4,"LENGTH_6",120,"T6",2022-01-06,"Day_in_Exp_T6",161
"1887","00187293D0",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1888","00187293D0",202,"WEIGHT_8",44.4,"LENGTH_8",156,"T8",2022-03-30,"Day_in_Exp_T8",244
"1889","00187293D3",201,"WEIGHT_1",1.7,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"1890","00187293D3",201,"WEIGHT_2",2.9,"LENGTH_2",64,"T2",2021-08-30,"Day_in_Exp_T2",20
"1891","00187293D3",201,"WEIGHT_3",2.7,"LENGTH_3",64,"T3",2021-09-29,"Day_in_Exp_T3",62
"1892","00187293D3",201,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"1893","00187293D3",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"1894","00187293D3",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"1895","00187293D3",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1896","00187293D3",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1897","00187293D9",151,"WEIGHT_1",3.4,"LENGTH_1",67,"T1",2021-07-29,"Day_in_Exp_T1",0
"1898","00187293D9",151,"WEIGHT_2",8.9,"LENGTH_2",93,"T2",2021-08-30,"Day_in_Exp_T2",20
"1899","00187293D9",151,"WEIGHT_3",18.9,"LENGTH_3",120,"T3",2021-09-29,"Day_in_Exp_T3",62
"1900","00187293D9",151,"WEIGHT_4",31.6,"LENGTH_4",141,"T4",2021-11-04,"Day_in_Exp_T4",98
"1901","00187293D9",151,"WEIGHT_5",55.3,"LENGTH_5",170,"T5",2021-12-09,"Day_in_Exp_T5",133
"1902","00187293D9",151,"WEIGHT_6",71,"LENGTH_6",189,"T6",2022-01-06,"Day_in_Exp_T6",161
"1903","00187293D9",151,"WEIGHT_7",92.4,"LENGTH_7",203,"T7",2022-02-04,"Day_in_Exp_T7",190
"1904","00187293D9",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"1905","00187293DB",201,"WEIGHT_1",4.4,"LENGTH_1",74,"T1",2021-07-29,"Day_in_Exp_T1",0
"1906","00187293DB",201,"WEIGHT_2",9.2,"LENGTH_2",93,"T2",2021-08-30,"Day_in_Exp_T2",20
"1907","00187293DB",201,"WEIGHT_3",13.6,"LENGTH_3",106,"T3",2021-09-29,"Day_in_Exp_T3",62
"1908","00187293DB",201,"WEIGHT_4",26.1,"LENGTH_4",130,"T4",2021-11-04,"Day_in_Exp_T4",98
"1909","00187293DB",201,"WEIGHT_5",37.1,"LENGTH_5",148,"T5",2021-12-09,"Day_in_Exp_T5",133
"1910","00187293DB",201,"WEIGHT_6",48.4,"LENGTH_6",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"1911","00187293DB",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"1912","00187293DB",201,"WEIGHT_8",82.3,"LENGTH_8",190,"T8",2022-03-30,"Day_in_Exp_T8",244
"1913","00187293DC",151,"WEIGHT_1",1.8,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"1914","00187293DC",151,"WEIGHT_2",5,"LENGTH_2",77,"T2",2021-08-30,"Day_in_Exp_T2",20
